Time (s),Cam3 Fiducial ID,Cam3 Position X,Cam3 Position Y,Cam3 Position Z,Cam3 Rotation X,Cam3 Rotation Y,Cam3 Rotation Z,Cam3 Rotation W
1732027044.0709589,1,1.8216334425134782e-06,2.051356228297895e-06,2.970470851102637e-05,0.0002002613694975405,-2.5167017873457778e-05,-3.287095308468174e-05,0.9999999790907526
1732027044.0871356,1,1.369089019574549e-06,5.743358222570253e-06,1.830810924378629e-05,0.0005861506305362049,-2.1039718775971678e-05,-3.879463489410755e-05,0.9999998272398575
1732027044.1043127,1,4.551254902549045e-06,2.884568710691652e-06,6.274886400167819e-05,-0.000536915284722825,8.40636051324465e-05,-1.931492704874416e-05,0.9999998521410994
1732027044.1204925,1,6.835216753807624e-06,4.1863121593331734e-06,5.4157746233407034e-05,0.0005283801041377781,0.00025572948096484646,-3.5838829469553527e-05,0.9999998270662234
1732027044.1387093,1,1.6434464734201359e-06,2.071193608206784e-06,2.9275371410230374e-05,0.0001184895783379632,-2.8010716774569333e-05,-4.102240717523532e-05,0.9999999917463908
1732027044.1553042,1,7.462513519987096e-06,3.1783649370411367e-06,6.812795988991909e-05,0.00016113161919801473,0.00014205256129500983,-1.575349166991763e-05,0.9999999768047491
1732027044.1704144,1,6.506628033259688e-07,2.6173632940452635e-06,-5.4368471510956925e-06,0.0002870096067162835,-3.923451008346495e-05,-2.2308472507698855e-05,0.9999999577942346
1732027044.18748,1,9.321405565602194e-06,2.728420506347506e-06,0.0001108964398707277,-1.9252073507748623e-05,0.00047467673900158794,1.2458665791271717e-05,0.99999988707806
1732027044.203679,1,-5.969221793318854e-06,2.4891465310968463e-06,-6.086548226566329e-05,1.3939054471503554e-05,-0.00028262224167912155,-1.8166524407947468e-05,0.9999999598001735
1732027044.2228358,1,7.609611374449954e-06,3.5057206866594004e-06,0.00010164903310720277,0.000486091197268553,0.0004695561844392544,-1.294865188807305e-05,0.9999997715323089
1732027044.2372582,1,-3.0320311325307206e-06,4.95504695876404e-06,-3.6523637806210366e-07,0.00029669401557561156,-3.823415391230804e-05,-6.999310254217276e-05,0.999999952805887
1732027044.253867,1,3.201166755765195e-06,2.8358262120371956e-06,5.694983143567601e-05,2.4544388720806314e-05,0.00021876251342652593,-2.1312937741035846e-05,0.9999999755431469
1732027044.2707996,1,-4.9232062224309725e-06,5.534737105147653e-06,2.7470238677302017e-06,0.0006815762495727389,-0.00019061823571731802,-4.6607776153257736e-05,0.999999748473078
1732027044.287439,1,2.8930604001816973e-06,1.1582990913976756e-06,9.738262636407765e-05,-0.0002472536593355539,0.0001729782223058421,9.86628671174224e-06,0.9999999544234084
