# sensorTOOL V2.0.0.2311
# SensorTypeName:optoNCDT ILD1420; SerialNumber:18040260; RecordingDate:2024-11-20_00-39-20.835; IP_Baudrate:921600; IP_ByteSize:8; IP_Interface:RS232; IP_Parity:0; IP_Port:COM5; IP_Stopbits:0; SA_SerialNumber:18040260; SA_AnalogScaleMode:0; SA_ApplicationLanguage:EN; SA_ArticleNumber:4120216; SA_Automatic:1; SA_AveragingType:3; SA_BootVersion:001.006; SA_CableHead:Wire; SA_ChartType:0; SA_CmdStr:OUTPUT RS422\r\n; SA_CurrentName:new; SA_DataOutInterface:1; SA_DataRange:50; SA_DataSource:0; SA_DefaultUser:1; SA_DisplayUnit:0; SA_Echo:0; SA_ErrorHysteresis:2; SA_ErrorLevelOut1:0; SA_ErrorOutHoldTime:50; SA_ErrorOutput1:1; SA_HardwareRevision:01; SA_HoldLastValid:-1; SA_InitialChartType:2; SA_KeyFunction:2; SA_Keylock:2; SA_KeylockState:1; SA_KeylockTime:5; SA_LaserPower:0; SA_Master:1; SA_MasterValue:0; SA_Measrate:1; SA_MeasurePeak:0; SA_MedianCount:9; SA_MovingCount:2; SA_MultiFunctionInputLevel:0; SA_MultiFunctionInputMode:0; SA_Option:000; SA_PresetMode:3; SA_PresetNames:Standard; SA_ROIEnd:511; SA_ROIStart:0; SA_Range:200; SA_RecursiveCount:2; SA_ResampleAnalog:0; SA_ResampleRS422:0; SA_Resampling:1; SA_Sensor:ILD1420; SA_SensorBaudrate:921600; SA_SerialNumber:18040260; SA_SettingNames:new; SA_Softwareversion:001.040; SA_TimeRange:3; SA_TriggerCount:1; SA_TriggerMode:0; SA_TriggerMoment:0; SA_UpperLimit:0; SA_UserLevel:1; SA_ViewRange:1
# SignalName           ; DataRate             ; RangeMin             ; RangeMax             ; ViewRange            
# Distance1            ; 1000 Hz              ; -102 mm              ; 713.9750916 mm       ; 4.079875458 mm       
# VideoResolution:0; VideoSignalCount:0
# 1_Averaging:Disabled; 2_Triggering:Disabled; 3_Subsampling:Disabled; 4_Mastering:Disabled
# Data acquisition time; Epoch time (ms); Distance1 (mm)
2024-11-20 00:39:21.062157; 1732030761062.157;  15.453
2024-11-20 00:39:21.063157; 1732030761063.157;  15.493
2024-11-20 00:39:21.064157; 1732030761064.157;  15.530
2024-11-20 00:39:21.065157; 1732030761065.157;  15.562
2024-11-20 00:39:21.066158; 1732030761066.158;  15.596
2024-11-20 00:39:21.067158; 1732030761067.158;  15.624
2024-11-20 00:39:21.068158; 1732030761068.158;  15.655
2024-11-20 00:39:21.069159; 1732030761069.158;  15.692
2024-11-20 00:39:21.070159; 1732030761070.159;  15.727
2024-11-20 00:39:21.071159; 1732030761071.159;  15.764
2024-11-20 00:39:21.072159; 1732030761072.159;  15.795
2024-11-20 00:39:21.073159; 1732030761073.159;  15.820
2024-11-20 00:39:21.074160; 1732030761074.160;  15.857
2024-11-20 00:39:21.075160; 1732030761075.160;  15.879
2024-11-20 00:39:21.076160; 1732030761076.160;  15.913
2024-11-20 00:39:21.077160; 1732030761077.160;  15.941
2024-11-20 00:39:21.078161; 1732030761078.161;  15.960
2024-11-20 00:39:21.079161; 1732030761079.161;  15.991
2024-11-20 00:39:21.080161; 1732030761080.161;  16.025
2024-11-20 00:39:21.081161; 1732030761081.161;  16.044
2024-11-20 00:39:21.082162; 1732030761082.162;  16.072
2024-11-20 00:39:21.083162; 1732030761083.162;  16.100
2024-11-20 00:39:21.084162; 1732030761084.162;  16.122
2024-11-20 00:39:21.085162; 1732030761085.162;  16.141
2024-11-20 00:39:21.086163; 1732030761086.163;  16.162
2024-11-20 00:39:21.087163; 1732030761087.163;  16.184
2024-11-20 00:39:21.088163; 1732030761088.163;  16.200
2024-11-20 00:39:21.089163; 1732030761089.163;  16.222
2024-11-20 00:39:21.090163; 1732030761090.164;  16.237
2024-11-20 00:39:21.091164; 1732030761091.164;  16.253
2024-11-20 00:39:21.092164; 1732030761092.164;  16.271
2024-11-20 00:39:21.093164; 1732030761093.164;  16.296
2024-11-20 00:39:21.094165; 1732030761094.165;  16.318
2024-11-20 00:39:21.095165; 1732030761095.165;  16.331
2024-11-20 00:39:21.096165; 1732030761096.165;  16.349
