# sensorTOOL V2.0.0.2311
# SensorTypeName:optoNCDT ILD1420; SerialNumber:18040260; RecordingDate:2024-11-19_21-52-32.022; IP_Baudrate:921600; IP_ByteSize:8; IP_Interface:RS232; IP_Parity:0; IP_Port:COM5; IP_Stopbits:0; SA_SerialNumber:18040260; SA_AnalogScaleMode:0; SA_ApplicationLanguage:EN; SA_ArticleNumber:4120216; SA_Automatic:1; SA_AveragingType:3; SA_BootVersion:001.006; SA_CableHead:Wire; SA_ChartType:0; SA_CmdStr:OUTPUT RS422\r\n; SA_CurrentName:new; SA_DataOutInterface:1; SA_DataRange:50; SA_DataSource:0; SA_DefaultUser:1; SA_DisplayUnit:0; SA_Echo:0; SA_ErrorHysteresis:2; SA_ErrorLevelOut1:0; SA_ErrorOutHoldTime:50; SA_ErrorOutput1:1; SA_HardwareRevision:01; SA_HoldLastValid:-1; SA_InitialChartType:2; SA_KeyFunction:2; SA_Keylock:2; SA_KeylockState:1; SA_KeylockTime:5; SA_LaserPower:0; SA_Master:1; SA_MasterValue:0; SA_Measrate:1; SA_MeasurePeak:0; SA_MedianCount:9; SA_MovingCount:2; SA_MultiFunctionInputLevel:0; SA_MultiFunctionInputMode:0; SA_Option:000; SA_PresetMode:3; SA_PresetNames:Standard; SA_ROIEnd:511; SA_ROIStart:0; SA_Range:200; SA_RecursiveCount:2; SA_ResampleAnalog:0; SA_ResampleRS422:0; SA_Resampling:1; SA_Sensor:ILD1420; SA_SensorBaudrate:921600; SA_SerialNumber:18040260; SA_SettingNames:new; SA_Softwareversion:001.040; SA_TimeRange:3; SA_TriggerCount:1; SA_TriggerMode:0; SA_TriggerMoment:0; SA_UpperLimit:0; SA_UserLevel:1; SA_ViewRange:1
# SignalName           ; DataRate             ; RangeMin             ; RangeMax             ; ViewRange            
# Distance1            ; 1000 Hz              ; -102 mm              ; 713.9750916 mm       ; 4.079875458 mm       
# VideoResolution:0; VideoSignalCount:0
# 1_Averaging:Disabled; 2_Triggering:Disabled; 3_Subsampling:Disabled; 4_Mastering:Disabled
# Data acquisition time; Epoch time (ms); Distance1 (mm)
2024-11-19 21:52:32.218901; 1732020752218.901; -14.011
2024-11-19 21:52:32.219902; 1732020752219.902; -14.005
2024-11-19 21:52:32.220902; 1732020752220.902; -13.995
2024-11-19 21:52:32.221902; 1732020752221.902; -13.986
2024-11-19 21:52:32.222902; 1732020752222.902; -13.974
2024-11-19 21:52:32.223903; 1732020752223.903; -13.958
2024-11-19 21:52:32.224903; 1732020752224.903; -13.952
2024-11-19 21:52:32.225903; 1732020752225.903; -13.933
2024-11-19 21:52:32.226903; 1732020752226.903; -13.924
2024-11-19 21:52:32.227904; 1732020752227.904; -13.908
2024-11-19 21:52:32.228904; 1732020752228.904; -13.890
2024-11-19 21:52:32.229904; 1732020752229.904; -13.874
2024-11-19 21:52:32.230904; 1732020752230.904; -13.862
2024-11-19 21:52:32.231904; 1732020752231.905; -13.843
2024-11-19 21:52:32.232905; 1732020752232.905; -13.830
2024-11-19 21:52:32.233905; 1732020752233.905; -13.812
2024-11-19 21:52:32.234905; 1732020752234.905; -13.793
2024-11-19 21:52:32.235906; 1732020752235.906; -13.768
2024-11-19 21:52:32.236906; 1732020752236.906; -13.749
2024-11-19 21:52:32.237906; 1732020752237.906; -13.734
2024-11-19 21:52:32.238906; 1732020752238.906; -13.712
2024-11-19 21:52:32.239907; 1732020752239.906; -13.693
2024-11-19 21:52:32.240907; 1732020752240.907; -13.668
2024-11-19 21:52:32.241907; 1732020752241.907; -13.644
2024-11-19 21:52:32.242907; 1732020752242.907; -13.622
2024-11-19 21:52:32.243907; 1732020752243.907; -13.600
2024-11-19 21:52:32.244908; 1732020752244.908; -13.575
2024-11-19 21:52:32.245908; 1732020752245.908; -13.547
2024-11-19 21:52:32.246908; 1732020752246.908; -13.516
2024-11-19 21:52:32.247908; 1732020752247.908; -13.491
2024-11-19 21:52:32.248909; 1732020752248.909; -13.463
2024-11-19 21:52:32.249909; 1732020752249.909; -13.441
2024-11-19 21:52:32.250909; 1732020752250.909; -13.416
2024-11-19 21:52:32.251909; 1732020752251.909; -13.379
2024-11-19 21:52:32.252910; 1732020752252.910; -13.354
2024-11-19 21:52:32.253910; 1732020752253.910; -13.323
2024-11-19 21:52:32.254910; 1732020752254.910; -13.292
2024-11-19 21:52:32.255910; 1732020752255.910; -13.258
2024-11-19 21:52:32.256911; 1732020752256.911; -13.233
2024-11-19 21:52:32.257911; 1732020752257.911; -13.198
2024-11-19 21:52:32.258911; 1732020752258.911; -13.164
2024-11-19 21:52:32.259911; 1732020752259.911; -13.130
2024-11-19 21:52:32.260912; 1732020752260.912; -13.099
2024-11-19 21:52:32.261912; 1732020752261.912; -13.068
2024-11-19 21:52:32.262912; 1732020752262.912; -13.036
2024-11-19 21:52:32.263912; 1732020752263.912; -13.002
2024-11-19 21:52:32.264913; 1732020752264.913; -12.968
2024-11-19 21:52:32.265913; 1732020752265.913; -12.934
2024-11-19 21:52:32.266913; 1732020752266.913; -12.899
2024-11-19 21:52:32.267913; 1732020752267.913; -12.862
2024-11-19 21:52:32.268913; 1732020752268.914; -12.828
2024-11-19 21:52:32.269914; 1732020752269.914; -12.794
2024-11-19 21:52:32.270914; 1732020752270.914; -12.762
2024-11-19 21:52:32.271914; 1732020752271.914; -12.722
2024-11-19 21:52:32.272915; 1732020752272.915; -12.688
2024-11-19 21:52:32.273915; 1732020752273.915; -12.650
2024-11-19 21:52:32.274915; 1732020752274.915; -12.619
2024-11-19 21:52:32.275915; 1732020752275.915; -12.579
2024-11-19 21:52:32.276916; 1732020752276.916; -12.538
2024-11-19 21:52:32.277916; 1732020752277.916; -12.504
2024-11-19 21:52:32.278916; 1732020752278.916; -12.470
2024-11-19 21:52:32.279916; 1732020752279.916; -12.439
2024-11-19 21:52:32.280916; 1732020752280.917; -12.395
2024-11-19 21:52:32.281917; 1732020752281.917; -12.364
2024-11-19 21:52:32.282917; 1732020752282.917; -12.317
