Time (s),Cam3 Fiducial ID,Cam3 Position X,Cam3 Position Y,Cam3 Position Z,Cam3 Rotation X,Cam3 Rotation Y,Cam3 Rotation Z,Cam3 Rotation W
1732025990.024283,1,-0.013376812091733303,-0.0006206214675550081,-5.418980499393856e-05,0.019637804814020537,-0.007179124307164163,0.00040940704820238894,0.9997813006763717
1732025990.0411766,1,-0.01385717836941618,-0.000655618369111729,0.0002989166140241332,0.012928660557660315,-0.0006174749582534602,0.0003231661305579115,0.9999161784992344
1732025990.0577674,1,-0.014176739019335452,-0.0007090001672949267,0.0005884192441847568,0.002273897363206597,0.004819539233047884,0.0003350617385233954,0.9999857444813872
1732025990.0752962,1,-0.014448139197324837,-0.0007212589231947756,-0.00043733476935965096,-0.007981038994379587,0.0010059748383714224,0.0002965043474674809,0.9999676010333369
1732025990.0915098,1,-0.014607019196293597,-0.0006858612886097945,-0.0014987509305765254,0.03255375893755721,0.09683018474407934,-0.0016325917136103397,0.9947670595399506
1732025990.1084235,1,-0.014525627500925481,-0.0006493470823885574,-0.0024603676996932215,0.039265231786188966,0.1048905881830963,-0.002570251654071915,0.9937049863464587
1732025990.124492,1,-0.014173688157609225,-0.0006502696237927029,-0.0029538593019562357,-0.02992369184859684,-0.018655026664889388,-0.0005804782201472707,0.9993779193534937
1732025990.1409447,1,-0.013719721847078144,-0.0006341138169284506,-0.0034781231746206375,-0.03327940387373322,-0.025365021481928436,-0.0009530623937985944,0.9991237103757992
1732025990.1576912,1,-0.013136665704720382,-0.000588152487872797,-0.004456795323117964,-0.03606855139134387,-0.03316714680139101,-0.001363547823691653,0.9987978477704672
1732025990.1741765,1,-0.012348585378940046,-0.0005222874592598995,-0.004781993847031046,-0.03803946253809962,-0.037659267798052516,-0.001659905795813978,0.9985649821376054
1732025990.1914008,1,-0.011395602968442572,-0.0004856075398280135,-0.0049409814014935586,-0.041692114713315805,-0.04287757148648546,-0.0020658231480346354,0.9982079010951947
1732025990.2075198,1,-0.010314253913958378,-0.0004689507207310719,-0.0052733719063975115,-0.044045549848676244,-0.045764583890834425,-0.0023773306347850097,0.9979779259577235
1732025990.2244713,1,-0.00916035981237304,-0.000434554879477142,-0.005756528600528312,-0.044001475423496084,-0.049820195834510604,-0.002643786363638822,0.9977849611219994
1732025990.2410452,1,-0.007888334815550574,-0.00036779737472913564,-0.006301726665939504,-0.045088678209068686,-0.053472790584253554,-0.0028491263527782654,0.9975467679480083
1732025990.2574499,1,-0.006466149886880372,-0.00027571497274303693,-0.006346712365457922,-0.0452039461091225,-0.0547189327942091,-0.002982225217721402,0.9974735825989465
1732025990.2743034,1,-0.0049671417508289,-0.00021728069274315145,-0.006035996158185933,-0.0460011162919105,-0.05545790490932837,-0.0030972174234652912,0.9973959721831636
1732025990.2908366,1,-0.0034459984869782373,-0.00015656675044249007,-0.006479827756754534,-0.047392539990804686,-0.058709376402914744,-0.0034283437346262604,0.9971436219195499
1732025990.3077755,1,-0.0017686622927829956,-0.0001360833453963636,-0.005779886260104865,-0.04705902490319673,-0.05618842019018283,-0.003250670963750001,0.9973052405106358
1732025990.3242383,1,-0.00023614002676209045,-6.456323854980294e-05,-0.00640301243811487,-0.04605451212963546,-0.05855002822473705,-0.0033817278559306963,0.9972158442504272
1732025990.3420317,1,0.0014035168115937454,3.247744098323017e-05,-0.006451379369632085,-0.045011615226229665,-0.057763739248017455,-0.003327815344865055,0.9973094958777057
1732025990.3576877,1,0.0030540834693972415,0.00011032925079327924,-0.0057657468204725705,-0.043917365108700514,-0.05446595251298127,-0.003065118256729993,0.9975446506842865
1732025990.3742638,1,0.0046419172474638495,0.00017401281860193784,-0.005679169702803239,-0.04343342025300584,-0.05405638474050925,-0.0029633986253390482,0.9975884239216587
1732025990.391686,1,0.006228733523968932,0.0002341766765487378,-0.005265960673845305,-0.04137380690564776,-0.050680177166855016,-0.0027221321195904217,0.9978538559033551
1732025990.407528,1,0.007726914643685652,0.0002839463820575881,-0.004775565733644864,-0.038498986969444426,-0.04748818208750643,-0.0024814807632920137,0.9981265164384583
1732025990.424538,1,0.009118775332159039,0.00035769551197131457,-0.004879451377445603,-0.037860214116353985,-0.0457275512633963,-0.0024162965684520026,0.9982333177936962
1732025990.4408517,1,0.010494585380713725,0.0003985930992649526,-0.004031812333414374,-0.03410332996158169,-0.03971732199434577,-0.001933860169831689,0.9986269360496804
1732025990.4579706,1,0.011700492879341964,0.00044434912489548363,-0.003920958032597985,-0.03273495306385408,-0.03728920714248654,-0.001890677635541691,0.9987664207494515
1732025990.4748096,1,0.012804569696452658,0.0005100495459533616,-0.003932374803365913,-0.0287788231946928,-0.0328379654620359,-0.0015566797411242902,0.9990450560950823
1732025990.490932,1,0.013816020501371347,0.0005812111194064899,-0.0033744311599520436,-0.023185881248955518,-0.026411571786714206,-0.0012274312234084235,0.9993814773143718
1732025990.5078645,1,0.014711692668216036,0.0006346279256787744,-0.002621589699475955,-0.020946034371720237,-0.02059517670814218,-0.0009626694697633277,0.9995679944895951
1732025990.5242915,1,0.015455891340572797,0.0006483254322794171,-0.0018573602245020822,-0.01562571466329283,-0.012856572395478978,-0.0006152337489963743,0.9997950625377858
1732025990.5417187,1,0.015984942735664923,0.0006483441397100952,-0.0014107611378516628,-0.00953025530524149,-0.007091713924416115,-0.00047920530170603837,0.9999293235972779
1732025990.557941,1,0.01633323739898281,0.0006699654854046295,-0.001401890880347482,-0.003336718943492791,-0.0034188638067095805,-0.00047075051667408647,0.9999884779690785
1732025990.5762265,1,0.01651141204065202,0.0007079516555836274,-0.0013610658360520775,0.006327127060294244,-0.00013273693340936802,-0.0003006901127073885,0.9999799295133506
1732025990.5914092,1,0.0165153436179255,0.0007258356050435381,-0.0010739349610472647,0.015434080471391635,0.0017798717284685836,-0.00025123968041112295,0.9998792717599739
1732025990.6079624,1,0.01629695718733278,0.0007222017482745228,-0.0014160981927521194,0.022574463321583065,-0.0006716154239215344,-0.00024882439947869446,0.9997449077764202
1732025990.6247094,1,0.015860456294130423,0.0007181585857078748,-0.0018975402898902159,0.03026517542229974,-0.006548633937267129,-0.00011154796408231948,0.9995204460676455
1732025990.6411436,1,0.015293860819489103,0.0007180856749236906,-0.0022197056711815715,0.03361481183592907,-0.010669418076536178,2.7763025216672444e-05,0.9993779100882497
1732025990.6582034,1,0.014655569359806072,0.0006854293619688382,-0.0020199636429898836,0.03695559434534986,-0.013688463385372836,0.00019640709176421426,0.9992231339600698
1732025990.6745312,1,0.01371220048383401,0.0005980106227736835,-0.0022608984744387456,-0.03140342454650764,0.14107205024376884,0.005965954464542282,0.989483152435704
1732025990.6917377,1,0.012653917134572914,0.0005321719641193355,-0.0027188728262555273,-0.03271044718351372,0.144046587902343,0.006303136133532439,0.9890100493087162
1732025990.7077765,1,0.011499410230768628,0.000491671874675461,-0.0031125749951229826,-0.03380839558263565,0.1475821209837288,0.006665343680953467,0.9884493326153276
1732025990.725663,1,0.010216703423750702,0.00046704987484108763,-0.003485388841321606,-0.03616091071505467,0.15042268720496016,0.007133926987280144,0.987934466852957
1732025990.7423098,1,0.008977379908280993,0.0004091851293086812,-0.0028369175918917943,-0.03704081741232832,0.14974295143316335,0.007382601015649865,0.9880033013830246
1732025990.7588809,1,0.007539875383712935,0.00031662372434488874,-0.0029221066761870493,-0.03928394402890327,0.15179801918393426,0.007874893404248443,0.9875991692823762
1732025990.7747724,1,0.006040516704068087,0.00024269578763095524,-0.002888178692478346,-0.038401403625125674,0.15171016867343232,0.007769690298390725,0.9876482110718199
1732025990.791168,1,0.004441969471907854,0.00017312517202188935,-0.003223069368528494,-0.03944207603409368,0.15239969968048164,0.007967041734849335,0.9874994584410742
