Time (s),Cam3 Fiducial ID,Cam3 Position X,Cam3 Position Y,Cam3 Position Z,Cam3 Rotation X,Cam3 Rotation Y,Cam3 Rotation Z,Cam3 Rotation W
1732026773.5189571,1,-2.1198731134925307e-05,9.290786722644134e-06,-5.856213154113486e-05,0.000122800564427367,5.457452362814051e-05,-3.134363792055083e-05,0.9999999904796095
1732026773.5189958,1,-2.1198731134925307e-05,9.290786722644134e-06,-5.856213154113486e-05,0.000122800564427367,5.457452362814051e-05,-3.134363792055083e-05,0.9999999904796095
1732026773.5360858,1,-1.8434428321720732e-05,8.870936487440797e-06,-1.2913993721278368e-05,0.0002865028917935858,0.00048587520466152333,-3.024940875533162e-05,0.9999998404631631
1732026773.5361483,1,-1.8434428321720732e-05,8.870936487440797e-06,-1.2913993721278368e-05,0.0002865028917935858,0.00048587520466152333,-3.024940875533162e-05,0.9999998404631631
1732026773.5521812,1,-2.1629553120635105e-05,8.353000662161316e-06,-5.501972046578113e-05,-5.182290318872251e-05,0.00019764738434007034,-3.0474975102454256e-05,0.9999999786605869
1732026773.55221,1,-2.1629553120635105e-05,8.353000662161316e-06,-5.501972046578113e-05,-5.182290318872251e-05,0.00019764738434007034,-3.0474975102454256e-05,0.9999999786605869
1732026773.5703106,1,-2.1039512883014555e-05,6.894238166833498e-06,-3.670967081715379e-05,7.416595643232992e-05,1.1907297711299529e-07,-2.9162247883136905e-05,0.99999999682448
1732026773.5703778,1,-2.1039512883014555e-05,6.894238166833498e-06,-3.670967081715379e-05,7.416595643232992e-05,1.1907297711299529e-07,-2.9162247883136905e-05,0.99999999682448
1732026773.5858166,1,-2.0496750601388707e-05,9.94238860899024e-06,-2.77609104004394e-05,0.0006710057001626281,0.00026278120004131377,-4.321276751215935e-05,0.99999973941499
1732026773.5858772,1,-2.0496750601388707e-05,9.94238860899024e-06,-2.77609104004394e-05,0.0006710057001626281,0.00026278120004131377,-4.321276751215935e-05,0.99999973941499
1732026773.6023834,1,-1.83983294096667e-05,8.891847090899658e-06,-1.0982293593179842e-05,0.000323247647526072,0.0003400991050019177,-3.484371448873962e-05,0.9999998893147303
1732026773.602416,1,-1.83983294096667e-05,8.891847090899658e-06,-1.0982293593179842e-05,0.000323247647526072,0.0003400991050019177,-3.484371448873962e-05,0.9999998893147303
1732026773.6192372,1,-2.1681366954058964e-05,8.58574211811875e-06,-2.6663705892230334e-05,0.0004613319779544694,0.00039999002767782897,-3.230183481389622e-05,0.9999998130686701
1732026773.6192777,1,-2.1681366954058964e-05,8.58574211811875e-06,-2.6663705892230334e-05,0.0004613319779544694,0.00039999002767782897,-3.230183481389622e-05,0.9999998130686701
1732026773.6356027,1,-1.9896855008072606e-05,6.6806406894616335e-06,-1.0439843218988883e-05,0.00020364496255825798,0.000290059099870193,-3.493189173739159e-05,0.9999999365871034
1732026773.635642,1,-1.9896855008072606e-05,6.6806406894616335e-06,-1.0439843218988883e-05,0.00020364496255825798,0.000290059099870193,-3.493189173739159e-05,0.9999999365871034
1732026773.6527207,1,-1.9296254200457267e-05,5.542986942019037e-06,-2.8321369673436097e-05,0.0004711067809726381,0.00019158267169799576,-3.976567252563095e-05,0.9999998698865776
1732026773.6527646,1,-1.9296254200457267e-05,5.542986942019037e-06,-2.8321369673436097e-05,0.0004711067809726381,0.00019158267169799576,-3.976567252563095e-05,0.9999998698865776
1732026773.6691885,1,-2.9076876670723263e-05,6.692379004593964e-06,-9.176995915415551e-05,0.00015406205029627366,-5.601373708368755e-05,-2.762272255669964e-05,0.9999999861821655
1732026773.6692407,1,-2.9076876670723263e-05,6.692379004593964e-06,-9.176995915415551e-05,0.00015406205029627366,-5.601373708368755e-05,-2.762272255669964e-05,0.9999999861821655
1732026773.685781,1,-2.2286252495364403e-05,8.689706954749614e-06,-3.266598879108074e-05,0.00048090927968743186,0.0003077434248397755,-5.707832065531848e-05,0.9999998353811438
1732026773.6858144,1,-2.2286252495364403e-05,8.689706954749614e-06,-3.266598879108074e-05,0.00048090927968743186,0.0003077434248397755,-5.707832065531848e-05,0.9999998353811438
1732026773.7026265,1,-3.146759702999229e-05,9.423354671237012e-06,-0.00011055147178110685,-6.888173590194013e-06,-0.00013737884691606274,-1.668104117771225e-05,0.9999999904006741
1732026773.7026765,1,-3.146759702999229e-05,9.423354671237012e-06,-0.00011055147178110685,-6.888173590194013e-06,-0.00013737884691606274,-1.668104117771225e-05,0.9999999904006741
1732026773.7192364,1,-2.2493080625632597e-05,8.197781375191448e-06,-1.5350500405399338e-05,0.00012180219529367477,0.00015251429737247517,-2.2995695249119922e-05,0.999999980687406
1732026773.7192733,1,-2.2493080625632597e-05,8.197781375191448e-06,-1.5350500405399338e-05,0.00012180219529367477,0.00015251429737247517,-2.2995695249119922e-05,0.999999980687406
1732026773.73645,1,-2.8162604758576674e-05,8.809726565969298e-06,-9.44571077159914e-05,-0.00015745543719133218,-0.00017203228303559946,-9.630302995628446e-06,0.9999999727599677
1732026773.736493,1,-2.8162604758576674e-05,8.809726565969298e-06,-9.44571077159914e-05,-0.00015745543719133218,-0.00017203228303559946,-9.630302995628446e-06,0.9999999727599677
1732026773.7525713,1,-1.8993100178016916e-05,8.195883995139525e-06,1.7618563453981633e-07,0.0004632477912660089,0.0002222960798155917,-3.1739928103949585e-05,0.9999998674892481
1732026773.7526033,1,-1.8993100178016916e-05,8.195883995139525e-06,1.7618563453981633e-07,0.0004632477912660089,0.0002222960798155917,-3.1739928103949585e-05,0.9999998674892481
1732026773.7697318,1,-2.1912564740383905e-05,6.856459668689348e-06,-4.422254498533187e-05,0.00012193938354980643,9.308761180742312e-06,-4.913201690050229e-05,0.9999999913150892
1732026773.7697957,1,-2.1912564740383905e-05,6.856459668689348e-06,-4.422254498533187e-05,0.00012193938354980643,9.308761180742312e-06,-4.913201690050229e-05,0.9999999913150892
1732026773.785977,1,-1.667458180032282e-05,5.473551860510751e-06,1.4828906103086307e-06,0.0008041272915179528,0.00034857610607715023,-5.4708717141027726e-05,0.9999996144404024
1732026773.7860355,1,-1.667458180032282e-05,5.473551860510751e-06,1.4828906103086307e-06,0.0008041272915179528,0.00034857610607715023,-5.4708717141027726e-05,0.9999996144404024
1732026773.802497,1,-3.000446510757249e-05,7.437640977446486e-06,-0.0001253128539428745,0.00043394460165545773,-0.00014996478883196962,-2.987758501383147e-05,0.9999998941549817
1732026773.8025296,1,-3.000446510757249e-05,7.437640977446486e-06,-0.0001253128539428745,0.00043394460165545773,-0.00014996478883196962,-2.987758501383147e-05,0.9999998941549817
1732026773.8196669,1,-2.0547630304522526e-05,6.879437507079e-06,-4.329391798168919e-05,0.0005654851721577275,9.0914915801255e-05,-4.986564113774e-05,0.9999998347371943
1732026773.8197138,1,-2.0547630304522526e-05,6.879437507079e-06,-4.329391798168919e-05,0.0005654851721577275,9.0914915801255e-05,-4.986564113774e-05,0.9999998347371943
1732026773.8360572,1,-1.8669648578933246e-05,9.81005007985753e-06,-3.58255835639718e-05,0.0002944689807317961,0.00020234135723784839,-7.414155063487019e-06,0.9999999361455103
1732026773.836096,1,-1.8669648578933246e-05,9.81005007985753e-06,-3.58255835639718e-05,0.0002944689807317961,0.00020234135723784839,-7.414155063487019e-06,0.9999999361455103
1732026773.8548596,1,-2.4901251909443464e-05,8.816211816168605e-06,-5.816745617975338e-05,-6.891211235421699e-05,0.00010240265039763013,-1.6542572343220152e-05,0.9999999922455806
1732026773.8549626,1,-2.4901251909443464e-05,8.816211816168605e-06,-5.816745617975338e-05,-6.891211235421699e-05,0.00010240265039763013,-1.6542572343220152e-05,0.9999999922455806
1732026773.869346,1,-1.644908299076783e-05,9.776123128607666e-06,4.3079906593111815e-06,0.0002841465665263026,0.00032331408483214755,-7.402174001746406e-06,0.9999999073369653
1732026773.8693774,1,-1.644908299076783e-05,9.776123128607666e-06,4.3079906593111815e-06,0.0002841465665263026,0.00032331408483214755,-7.402174001746406e-06,0.9999999073369653
1732026773.8859088,1,-2.3872281597948486e-05,8.422785623920783e-06,-3.48145435010567e-05,0.0003708041514895534,0.00013335259693835635,-1.865632413758091e-05,0.9999999221866508
1732026773.885947,1,-2.3872281597948486e-05,8.422785623920783e-06,-3.48145435010567e-05,0.0003708041514895534,0.00013335259693835635,-1.865632413758091e-05,0.9999999221866508
1732026773.9030209,1,-1.5896966908965185e-05,7.983472524286099e-06,4.050423603535917e-05,0.0002357317464384155,0.0005286013387961443,-3.447567803850408e-05,0.9999998319112839
1732026773.9030802,1,-1.5896966908965185e-05,7.983472524286099e-06,4.050423603535917e-05,0.0002357317464384155,0.0005286013387961443,-3.447567803850408e-05,0.9999998319112839
