# sensorTOOL V1.12.0.1370
# SensorTypeName:optoNCDT ILD1420	 SerialNumber:18040260	 RecordingDate:2024-09-14_12-25-15.895	 SA_AnalogScaleMode:0	 SA_ApplicationLanguage:EN	 SA_ArticleNumber:4120216	 SA_Automatic:1	 SA_AveragingType:3	 SA_BootVersion:001.006	 SA_CableHead:Wire	 SA_ChartType:0	 SA_CurrentName:new	 SA_DataOutInterface:1	 SA_DataRange:50	 SA_DataSource:0	 SA_DefaultUser:1	 SA_DisplayUnit:0	 SA_Echo:0	 SA_ErrorHysteresis:2	 SA_ErrorLevelOut1:0	 SA_ErrorOutHoldTime:50	 SA_ErrorOutput1:1	 SA_HardwareRevision:01	 SA_HoldLastValid:-1	 SA_InitialChartType:2	 SA_KeyFunction:2	 SA_Keylock:2	 SA_KeylockState:1	 SA_KeylockTime:5	 SA_LaserPower:0	 SA_Master:1	 SA_MasterValue:0	 SA_Measrate:1	 SA_MeasurePeak:0	 SA_MedianCount:9	 SA_MovingCount:2	 SA_MultiFunctionInputLevel:0	 SA_MultiFunctionInputMode:0	 SA_Option:000	 SA_PresetMode:3	 SA_PresetNames:Standard	 SA_ROIEnd:511	 SA_ROIStart:0	 SA_Range:200	 SA_RecursiveCount:2	 SA_ResampleAnalog:0	 SA_ResampleRS422:0	 SA_Resampling:1	 SA_Sensor:ILD1420	 SA_SensorBaudrate:921600	 SA_SerialNumber:18040260	 SA_SettingNames:new	 SA_Softwareversion:001.040	 SA_TimeRange:3	 SA_TriggerCount:1	 SA_TriggerMode:0	 SA_TriggerMoment:0	 SA_UpperLimit:0	 SA_UserLevel:1	 SA_ViewRange:1
# SignalName           	 DataRate             	 RangeMin             	 RangeMax             
# Distance1            	 1000 Hz              	 -102 mm              	 713,9750916 mm       
# VideoResolution:65536	 VideoSignalCount:0
# 1_Averaging:Disabled	 2_Triggering:Disabled	 3_Subsampling:Disabled	 4_Mastering:Disabled
# Data acquisition time	 Epoch time (ms)	 Distance1 (mm)
2024-09-14 12:25:16,679942	 1726284316679,942	   4,0974
2024-09-14 12:25:16,680942	 1726284316680,942	   3,9853
2024-09-14 12:25:16,681942	 1726284316681,942	   3,8639
2024-09-14 12:25:16,682942	 1726284316682,942	   3,7487
2024-09-14 12:25:16,683942	 1726284316683,942	   3,6335
2024-09-14 12:25:16,684942	 1726284316684,942	   3,5183
2024-09-14 12:25:16,685942	 1726284316685,942	   3,4031
2024-09-14 12:25:16,686942	 1726284316686,942	   3,2910
2024-09-14 12:25:16,687942	 1726284316687,942	   3,1727
2024-09-14 12:25:16,688942	 1726284316688,942	   3,0482
2024-09-14 12:25:16,689942	 1726284316689,942	   2,9143
2024-09-14 12:25:16,690942	 1726284316690,942	   2,7835
2024-09-14 12:25:16,691942	 1726284316691,942	   2,6808
2024-09-14 12:25:16,692942	 1726284316692,942	   2,5718
2024-09-14 12:25:16,693942	 1726284316693,942	   2,4379
2024-09-14 12:25:16,694942	 1726284316694,942	   2,3040
2024-09-14 12:25:16,695942	 1726284316695,942	   2,1733
2024-09-14 12:25:16,696942	 1726284316696,942	   2,0456
2024-09-14 12:25:16,697942	 1726284316697,942	   1,9148
2024-09-14 12:25:16,698942	 1726284316698,942	   1,7841
2024-09-14 12:25:16,699942	 1726284316699,942	   1,6533
2024-09-14 12:25:16,700942	 1726284316700,942	   1,5194
2024-09-14 12:25:16,701942	 1726284316701,942	   1,3824
2024-09-14 12:25:16,702942	 1726284316702,942	   1,2548
2024-09-14 12:25:16,703942	 1726284316703,942	   1,1396
2024-09-14 12:25:16,704942	 1726284316704,942	   1,0088
2024-09-14 12:25:16,705942	 1726284316705,942	   0,8593
2024-09-14 12:25:16,706942	 1726284316706,942	   0,7348
2024-09-14 12:25:16,707942	 1726284316707,942	   0,6352
2024-09-14 12:25:16,708942	 1726284316708,942	   0,5480
2024-09-14 12:25:16,709942	 1726284316709,942	   0,4328
2024-09-14 12:25:16,710942	 1726284316710,942	   0,3020
