# sensorTOOL V1.12.0.1370
# SensorTypeName:optoNCDT ILD1420; SerialNumber:18040260; RecordingDate:2024-09-14_02-02-44.008; SA_AnalogScaleMode:0; SA_ApplicationLanguage:EN; SA_ArticleNumber:4120216; SA_Automatic:1; SA_AveragingType:3; SA_BootVersion:001.006; SA_CableHead:Wire; SA_ChartType:0; SA_CmdStr:GETOUTINFO_RS422\\r\\n; SA_CurrentName:new; SA_DataOutInterface:1; SA_DataRange:50; SA_DataSource:0; SA_DefaultUser:1; SA_DisplayUnit:0; SA_Echo:0; SA_ErrorHysteresis:2; SA_ErrorLevelOut1:0; SA_ErrorOutHoldTime:50; SA_ErrorOutput1:1; SA_HardwareRevision:01; SA_HoldLastValid:-1; SA_InitialChartType:2; SA_KeyFunction:2; SA_Keylock:2; SA_KeylockState:1; SA_KeylockTime:5; SA_LaserPower:0; SA_Master:1; SA_MasterValue:0; SA_Measrate:1; SA_MeasurePeak:0; SA_MedianCount:9; SA_MovingCount:2; SA_MultiFunctionInputLevel:0; SA_MultiFunctionInputMode:0; SA_Option:000; SA_PresetMode:3; SA_PresetNames:Standard; SA_ROIEnd:511; SA_ROIStart:0; SA_Range:200; SA_RecursiveCount:2; SA_ResampleAnalog:0; SA_ResampleRS422:0; SA_Resampling:1; SA_Sensor:ILD1420; SA_SensorBaudrate:921600; SA_SerialNumber:18040260; SA_SettingNames:new; SA_Softwareversion:001.040; SA_TimeRange:3; SA_TriggerCount:1; SA_TriggerMode:0; SA_TriggerMoment:0; SA_UpperLimit:0; SA_UserLevel:1; SA_ViewRange:1
# SignalName           ; DataRate             ; RangeMin             ; RangeMax             
# Distance1            ; 1000 Hz              ; -102 mm              ; 713.9750916 mm       
# VideoResolution:65536; VideoSignalCount:0
# 1_Averaging:Disabled; 2_Triggering:Disabled; 3_Subsampling:Disabled; 4_Mastering:Disabled
# Data acquisition time; Epoch time (ms); Distance1 (mm)
2024-09-14 02:02:44.111909; 1726246964111.909;  -1.6253
2024-09-14 02:02:44.112909; 1726246964112.909;  -1.6190
2024-09-14 02:02:44.113909; 1726246964113.909;  -1.6159
2024-09-14 02:02:44.114909; 1726246964114.909;  -1.6097
2024-09-14 02:02:44.115909; 1726246964115.909;  -1.6066
2024-09-14 02:02:44.116909; 1726246964116.909;  -1.5973
2024-09-14 02:02:44.117909; 1726246964117.909;  -1.5910
2024-09-14 02:02:44.118909; 1726246964118.909;  -1.5817
2024-09-14 02:02:44.119909; 1726246964119.909;  -1.5723
2024-09-14 02:02:44.120909; 1726246964120.909;  -1.5661
2024-09-14 02:02:44.121909; 1726246964121.909;  -1.5537
2024-09-14 02:02:44.122910; 1726246964122.910;  -1.5443
2024-09-14 02:02:44.123910; 1726246964123.910;  -1.5319
2024-09-14 02:02:44.124910; 1726246964124.910;  -1.5225
2024-09-14 02:02:44.125910; 1726246964125.910;  -1.5070
2024-09-14 02:02:44.126911; 1726246964126.911;  -1.4914
2024-09-14 02:02:44.127911; 1726246964127.911;  -1.4727
2024-09-14 02:02:44.128911; 1726246964128.911;  -1.4571
2024-09-14 02:02:44.129911; 1726246964129.911;  -1.4385
2024-09-14 02:02:44.130911; 1726246964130.911;  -1.4167
2024-09-14 02:02:44.131911; 1726246964131.911;  -1.3949
2024-09-14 02:02:44.132911; 1726246964132.911;  -1.3700
2024-09-14 02:02:44.133911; 1726246964133.911;  -1.3451
2024-09-14 02:02:44.134911; 1726246964134.911;  -1.3201
2024-09-14 02:02:44.135911; 1726246964135.911;  -1.2890
2024-09-14 02:02:44.136911; 1726246964136.911;  -1.2610
2024-09-14 02:02:44.137911; 1726246964137.911;  -1.2267
2024-09-14 02:02:44.138911; 1726246964138.911;  -1.1925
2024-09-14 02:02:44.139912; 1726246964139.912;  -1.1551
2024-09-14 02:02:44.140912; 1726246964140.912;  -1.1178
2024-09-14 02:02:44.141912; 1726246964141.912;  -1.0804
2024-09-14 02:02:44.142912; 1726246964142.912;  -1.0430
2024-09-14 02:02:44.143913; 1726246964143.913;  -0.9995
2024-09-14 02:02:44.144913; 1726246964144.913;  -0.9559
2024-09-14 02:02:44.145913; 1726246964145.913;  -0.9123
2024-09-14 02:02:44.146913; 1726246964146.913;  -0.8718
2024-09-14 02:02:44.147914; 1726246964147.914;  -0.8313
2024-09-14 02:02:44.148914; 1726246964148.914;  -0.7908
2024-09-14 02:02:44.149914; 1726246964149.914;  -0.7504
2024-09-14 02:02:44.150914; 1726246964150.914;  -0.7130
