# sensorTOOL V1.12.0.1370
# SensorTypeName:optoNCDT ILD1420; SerialNumber:18040260; RecordingDate:2024-08-28_22-16-03.684; SA_AnalogScaleMode:0; SA_ApplicationLanguage:EN; SA_ArticleNumber:4120216; SA_Automatic:1; SA_AveragingType:3; SA_BootVersion:001.006; SA_CableHead:Wire; SA_ChartType:0; SA_CmdStr:GETOUTINFO_RS422\\r\\n; SA_CurrentName:new; SA_DataOutInterface:1; SA_DataRange:50; SA_DataSource:0; SA_DefaultUser:1; SA_DisplayUnit:0; SA_Echo:0; SA_ErrorHysteresis:2; SA_ErrorLevelOut1:0; SA_ErrorOutHoldTime:50; SA_ErrorOutput1:1; SA_HardwareRevision:01; SA_HoldLastValid:-1; SA_InitialChartType:2; SA_KeyFunction:2; SA_Keylock:2; SA_KeylockState:1; SA_KeylockTime:5; SA_LaserPower:0; SA_Master:1; SA_MasterValue:0; SA_Measrate:1; SA_MeasurePeak:0; SA_MedianCount:9; SA_MovingCount:2; SA_MultiFunctionInputLevel:0; SA_MultiFunctionInputMode:0; SA_Option:000; SA_PresetMode:3; SA_PresetNames:Standard; SA_ROIEnd:511; SA_ROIStart:0; SA_Range:200; SA_RecursiveCount:2; SA_ResampleAnalog:0; SA_ResampleRS422:0; SA_Resampling:1; SA_Sensor:ILD1420; SA_SensorBaudrate:921600; SA_SerialNumber:18040260; SA_SettingNames:new; SA_Softwareversion:001.040; SA_TimeRange:3; SA_TriggerCount:1; SA_TriggerMode:0; SA_TriggerMoment:0; SA_UpperLimit:0; SA_UserLevel:1; SA_ViewRange:1
# SignalName           ; DataRate             ; RangeMin             ; RangeMax             
# Distance1            ; 1000 Hz              ; -102 mm              ; 713.9750916 mm       
# VideoResolution:65536; VideoSignalCount:0
# 1_Averaging:Disabled; 2_Triggering:Disabled; 3_Subsampling:Disabled; 4_Mastering:Disabled
# Data acquisition time; Epoch time (ms); Distance1 (mm)
2024-08-28 22:16:03.676246; 1724850963676.246;  -2.1016
2024-08-28 22:16:03.677246; 1724850963677.246;  -2.0456
2024-08-28 22:16:03.678246; 1724850963678.246;  -1.9833
2024-08-28 22:16:03.679246; 1724850963679.246;  -1.9211
2024-08-28 22:16:03.680247; 1724850963680.247;  -1.8557
2024-08-28 22:16:03.681247; 1724850963681.247;  -1.7934
2024-08-28 22:16:03.682247; 1724850963682.247;  -1.7311
2024-08-28 22:16:03.683247; 1724850963683.247;  -1.6626
2024-08-28 22:16:03.684247; 1724850963684.248;  -1.6066
2024-08-28 22:16:03.685248; 1724850963685.248;  -1.5474
2024-08-28 22:16:03.686248; 1724850963686.248;  -1.4852
2024-08-28 22:16:03.687248; 1724850963687.248;  -1.4229
2024-08-28 22:16:03.688249; 1724850963688.249;  -1.3575
2024-08-28 22:16:03.689249; 1724850963689.249;  -1.2890
2024-08-28 22:16:03.690249; 1724850963690.249;  -1.2236
2024-08-28 22:16:03.691249; 1724850963691.249;  -1.1520
2024-08-28 22:16:03.692250; 1724850963692.250;  -1.0835
2024-08-28 22:16:03.693250; 1724850963693.250;  -1.0181
2024-08-28 22:16:03.694250; 1724850963694.250;  -0.9434
2024-08-28 22:16:03.695250; 1724850963695.250;  -0.8718
2024-08-28 22:16:03.696250; 1724850963696.250;  -0.8095
2024-08-28 22:16:03.697251; 1724850963697.251;  -0.7441
2024-08-28 22:16:03.698251; 1724850963698.251;  -0.6788
2024-08-28 22:16:03.699251; 1724850963699.251;  -0.6134
2024-08-28 22:16:03.700252; 1724850963700.251;  -0.5480
2024-08-28 22:16:03.701252; 1724850963701.252;  -0.4795
2024-08-28 22:16:03.702252; 1724850963702.252;  -0.4110
2024-08-28 22:16:03.703252; 1724850963703.252;  -0.3456
2024-08-28 22:16:03.704252; 1724850963704.252;  -0.2771
2024-08-28 22:16:03.705253; 1724850963705.253;  -0.2148
