# sensorTOOL V1.12.0.1370
# SensorTypeName:optoNCDT ILD1420; SerialNumber:18040260; RecordingDate:2024-08-29_02-18-18.546; SA_AnalogScaleMode:0; SA_ApplicationLanguage:EN; SA_ArticleNumber:4120216; SA_Automatic:1; SA_AveragingType:3; SA_BootVersion:001.006; SA_CableHead:Wire; SA_ChartType:0; SA_CurrentName:new; SA_DataOutInterface:1; SA_DataRange:50; SA_DataSource:0; SA_DefaultUser:1; SA_DisplayUnit:0; SA_Echo:0; SA_ErrorHysteresis:2; SA_ErrorLevelOut1:0; SA_ErrorOutHoldTime:50; SA_ErrorOutput1:1; SA_HardwareRevision:01; SA_HoldLastValid:-1; SA_InitialChartType:2; SA_KeyFunction:2; SA_Keylock:2; SA_KeylockState:1; SA_KeylockTime:5; SA_LaserPower:0; SA_Master:1; SA_MasterValue:0; SA_Measrate:1; SA_MeasurePeak:0; SA_MedianCount:9; SA_MovingCount:2; SA_MultiFunctionInputLevel:0; SA_MultiFunctionInputMode:0; SA_Option:000; SA_PresetMode:3; SA_PresetNames:Standard; SA_ROIEnd:511; SA_ROIStart:0; SA_Range:200; SA_RecursiveCount:2; SA_ResampleAnalog:0; SA_ResampleRS422:0; SA_Resampling:1; SA_Sensor:ILD1420; SA_SensorBaudrate:921600; SA_SerialNumber:18040260; SA_SettingNames:new; SA_Softwareversion:001.040; SA_TimeRange:3; SA_TriggerCount:1; SA_TriggerMode:0; SA_TriggerMoment:0; SA_UpperLimit:0; SA_UserLevel:1; SA_ViewRange:1
# SignalName           ; DataRate             ; RangeMin             ; RangeMax             
# Distance1            ; 1000 Hz              ; -102 mm              ; 713.9750916 mm       
# VideoResolution:65536; VideoSignalCount:0
# 1_Averaging:Disabled; 2_Triggering:Disabled; 3_Subsampling:Disabled; 4_Mastering:Disabled
# Data acquisition time; Epoch time (ms); Distance1 (mm)
2024-08-29 02:18:18.675766; 1724865498675.766;   3.0949
2024-08-29 02:18:18.676766; 1724865498676.766;   3.0637
2024-08-29 02:18:18.677767; 1724865498677.767;   3.0326
2024-08-29 02:18:18.678767; 1724865498678.767;   3.0015
2024-08-29 02:18:18.679767; 1724865498679.767;   2.9703
2024-08-29 02:18:18.680767; 1724865498680.767;   2.9392
2024-08-29 02:18:18.681768; 1724865498681.768;   2.9081
2024-08-29 02:18:18.682768; 1724865498682.768;   2.8738
2024-08-29 02:18:18.683768; 1724865498683.768;   2.8458
2024-08-29 02:18:18.684768; 1724865498684.768;   2.8147
2024-08-29 02:18:18.685769; 1724865498685.769;   2.7835
2024-08-29 02:18:18.686769; 1724865498686.769;   2.7493
2024-08-29 02:18:18.687769; 1724865498687.769;   2.7150
2024-08-29 02:18:18.688769; 1724865498688.769;   2.6808
2024-08-29 02:18:18.689769; 1724865498689.770;   2.6465
2024-08-29 02:18:18.690770; 1724865498690.770;   2.6154
2024-08-29 02:18:18.691770; 1724865498691.770;   2.5811
2024-08-29 02:18:18.692770; 1724865498692.770;   2.5407
2024-08-29 02:18:18.693770; 1724865498693.771;   2.5064
2024-08-29 02:18:18.694771; 1724865498694.771;   2.4722
2024-08-29 02:18:18.695771; 1724865498695.771;   2.4379
2024-08-29 02:18:18.696771; 1724865498696.771;   2.4068
2024-08-29 02:18:18.697772; 1724865498697.771;   2.3756
2024-08-29 02:18:18.698772; 1724865498698.772;   2.3445
2024-08-29 02:18:18.699772; 1724865498699.772;   2.3134
2024-08-29 02:18:18.700772; 1724865498700.772;   2.2822
2024-08-29 02:18:18.701772; 1724865498701.772;   2.2480
2024-08-29 02:18:18.702773; 1724865498702.773;   2.2168
2024-08-29 02:18:18.703773; 1724865498703.773;   2.1826
2024-08-29 02:18:18.704773; 1724865498704.773;   2.1484
2024-08-29 02:18:18.705773; 1724865498705.773;   2.1172
2024-08-29 02:18:18.706774; 1724865498706.774;   2.0861
2024-08-29 02:18:18.707774; 1724865498707.774;   2.0518
2024-08-29 02:18:18.708774; 1724865498708.774;   2.0207
2024-08-29 02:18:18.709774; 1724865498709.774;   1.9833
2024-08-29 02:18:18.710775; 1724865498710.775;   1.9491
2024-08-29 02:18:18.711775; 1724865498711.775;   1.9148
2024-08-29 02:18:18.712775; 1724865498712.775;   1.8806
2024-08-29 02:18:18.713775; 1724865498713.775;   1.8463
2024-08-29 02:18:18.714776; 1724865498714.776;   1.8121
2024-08-29 02:18:18.715776; 1724865498715.776;   1.7778
2024-08-29 02:18:18.716776; 1724865498716.776;   1.7467
2024-08-29 02:18:18.717776; 1724865498717.776;   1.7093
2024-08-29 02:18:18.718777; 1724865498718.777;   1.6751
2024-08-29 02:18:18.719777; 1724865498719.777;   1.6408
2024-08-29 02:18:18.720777; 1724865498720.777;   1.6035
2024-08-29 02:18:18.721777; 1724865498721.777;   1.5692
2024-08-29 02:18:18.722778; 1724865498722.778;   1.5319
2024-08-29 02:18:18.723778; 1724865498723.778;   1.4976
2024-08-29 02:18:18.724778; 1724865498724.778;   1.4603
2024-08-29 02:18:18.725778; 1724865498725.778;   1.4260
2024-08-29 02:18:18.726778; 1724865498726.779;   1.3886
2024-08-29 02:18:18.727779; 1724865498727.779;   1.3544
2024-08-29 02:18:18.728779; 1724865498728.779;   1.3233
2024-08-29 02:18:18.729779; 1724865498729.779;   1.2921
2024-08-29 02:18:18.730780; 1724865498730.780;   1.2579
2024-08-29 02:18:18.731780; 1724865498731.780;   1.2236
2024-08-29 02:18:18.732780; 1724865498732.780;   1.1894
2024-08-29 02:18:18.733780; 1724865498733.780;   1.1582
2024-08-29 02:18:18.734781; 1724865498734.781;   1.1240
2024-08-29 02:18:18.735781; 1724865498735.781;   1.0866
2024-08-29 02:18:18.736781; 1724865498736.781;   1.0524
2024-08-29 02:18:18.737781; 1724865498737.781;   1.0150
2024-08-29 02:18:18.738781; 1724865498738.781;   0.9808
2024-08-29 02:18:18.739782; 1724865498739.782;   0.9434
2024-08-29 02:18:18.740782; 1724865498740.782;   0.9029
2024-08-29 02:18:18.741782; 1724865498741.782;   0.8656
2024-08-29 02:18:18.742783; 1724865498742.782;   0.8313
2024-08-29 02:18:18.743783; 1724865498743.783;   0.7940
2024-08-29 02:18:18.744783; 1724865498744.783;   0.7566
2024-08-29 02:18:18.745783; 1724865498745.783;   0.7192
2024-08-29 02:18:18.746783; 1724865498746.783;   0.6881
2024-08-29 02:18:18.747784; 1724865498747.784;   0.6538
2024-08-29 02:18:18.748784; 1724865498748.784;   0.6196
2024-08-29 02:18:18.749784; 1724865498749.784;   0.5885
2024-08-29 02:18:18.750784; 1724865498750.784;   0.5542
2024-08-29 02:18:18.751785; 1724865498751.785;   0.5168
2024-08-29 02:18:18.752785; 1724865498752.785;   0.4826
