# sensorTOOL V1.12.0.1370
# SensorTypeName:optoNCDT ILD1420; SerialNumber:18040260; RecordingDate:2024-09-14_01-43-18.457; SA_AnalogScaleMode:0; SA_ApplicationLanguage:EN; SA_ArticleNumber:4120216; SA_Automatic:1; SA_AveragingType:3; SA_BootVersion:001.006; SA_CableHead:Wire; SA_ChartType:0; SA_CmdStr:GETOUTINFO_RS422\\r\\n; SA_CurrentName:new; SA_DataOutInterface:1; SA_DataRange:50; SA_DataSource:0; SA_DefaultUser:1; SA_DisplayUnit:0; SA_Echo:0; SA_ErrorHysteresis:2; SA_ErrorLevelOut1:0; SA_ErrorOutHoldTime:50; SA_ErrorOutput1:1; SA_HardwareRevision:01; SA_HoldLastValid:-1; SA_InitialChartType:2; SA_KeyFunction:2; SA_Keylock:2; SA_KeylockState:1; SA_KeylockTime:5; SA_LaserPower:0; SA_Master:1; SA_MasterValue:0; SA_Measrate:1; SA_MeasurePeak:0; SA_MedianCount:9; SA_MovingCount:2; SA_MultiFunctionInputLevel:0; SA_MultiFunctionInputMode:0; SA_Option:000; SA_PresetMode:3; SA_PresetNames:Standard; SA_ROIEnd:511; SA_ROIStart:0; SA_Range:200; SA_RecursiveCount:2; SA_ResampleAnalog:0; SA_ResampleRS422:0; SA_Resampling:1; SA_Sensor:ILD1420; SA_SensorBaudrate:921600; SA_SerialNumber:18040260; SA_SettingNames:new; SA_Softwareversion:001.040; SA_TimeRange:3; SA_TriggerCount:1; SA_TriggerMode:0; SA_TriggerMoment:0; SA_UpperLimit:0; SA_UserLevel:1; SA_ViewRange:1
# SignalName           ; DataRate             ; RangeMin             ; RangeMax             
# Distance1            ; 1000 Hz              ; -102 mm              ; 713.9750916 mm       
# VideoResolution:65536; VideoSignalCount:0
# 1_Averaging:Disabled; 2_Triggering:Disabled; 3_Subsampling:Disabled; 4_Mastering:Disabled
# Data acquisition time; Epoch time (ms); Distance1 (mm)
2024-09-14 01:43:18.475437; 1726245798475.437;  -6.7907
2024-09-14 01:43:18.476437; 1726245798476.437;  -6.7938
2024-09-14 01:43:18.477437; 1726245798477.438;  -6.7938
2024-09-14 01:43:18.478438; 1726245798478.438;  -6.7969
2024-09-14 01:43:18.479438; 1726245798479.438;  -6.7969
2024-09-14 01:43:18.480438; 1726245798480.438;  -6.8000
2024-09-14 01:43:18.481438; 1726245798481.438;  -6.8000
2024-09-14 01:43:18.482439; 1726245798482.439;  -6.8000
2024-09-14 01:43:18.483439; 1726245798483.439;  -6.8000
2024-09-14 01:43:18.484439; 1726245798484.439;  -6.8000
2024-09-14 01:43:18.485440; 1726245798485.439;  -6.8000
2024-09-14 01:43:18.486440; 1726245798486.440;  -6.8000
2024-09-14 01:43:18.487440; 1726245798487.440;  -6.7969
2024-09-14 01:43:18.488440; 1726245798488.440;  -6.7969
2024-09-14 01:43:18.489440; 1726245798489.440;  -6.7969
2024-09-14 01:43:18.490441; 1726245798490.441;  -6.7938
2024-09-14 01:43:18.491441; 1726245798491.441;  -6.7907
2024-09-14 01:43:18.492441; 1726245798492.441;  -6.7907
2024-09-14 01:43:18.493441; 1726245798493.441;  -6.7907
2024-09-14 01:43:18.494442; 1726245798494.442;  -6.7844
2024-09-14 01:43:18.495442; 1726245798495.442;  -6.7844
2024-09-14 01:43:18.496442; 1726245798496.442;  -6.7813
2024-09-14 01:43:18.497442; 1726245798497.442;  -6.7782
2024-09-14 01:43:18.498443; 1726245798498.443;  -6.7751
2024-09-14 01:43:18.499443; 1726245798499.443;  -6.7751
2024-09-14 01:43:18.500443; 1726245798500.443;  -6.7689
2024-09-14 01:43:18.501443; 1726245798501.443;  -6.7658
2024-09-14 01:43:18.502444; 1726245798502.444;  -6.7626
2024-09-14 01:43:18.503444; 1726245798503.444;  -6.7564
2024-09-14 01:43:18.504444; 1726245798504.444;  -6.7533
2024-09-14 01:43:18.505444; 1726245798505.444;  -6.7502
2024-09-14 01:43:18.506445; 1726245798506.445;  -6.7440
2024-09-14 01:43:18.507445; 1726245798507.445;  -6.7377
2024-09-14 01:43:18.508445; 1726245798508.445;  -6.7315
2024-09-14 01:43:18.509445; 1726245798509.445;  -6.7253
2024-09-14 01:43:18.510446; 1726245798510.446;  -6.7222
2024-09-14 01:43:18.511446; 1726245798511.446;  -6.7128
2024-09-14 01:43:18.512446; 1726245798512.446;  -6.7066
2024-09-14 01:43:18.513446; 1726245798513.446;  -6.6973
2024-09-14 01:43:18.514446; 1726245798514.447;  -6.6879
2024-09-14 01:43:18.515447; 1726245798515.447;  -6.6817
2024-09-14 01:43:18.516447; 1726245798516.447;  -6.6723
2024-09-14 01:43:18.517447; 1726245798517.447;  -6.6630
2024-09-14 01:43:18.518448; 1726245798518.448;  -6.6537
2024-09-14 01:43:18.519448; 1726245798519.448;  -6.6443
2024-09-14 01:43:18.520448; 1726245798520.448;  -6.6319
2024-09-14 01:43:18.521448; 1726245798521.448;  -6.6225
2024-09-14 01:43:18.522449; 1726245798522.448;  -6.6101
2024-09-14 01:43:18.523449; 1726245798523.449;  -6.5976
2024-09-14 01:43:18.524449; 1726245798524.449;  -6.5852
2024-09-14 01:43:18.525449; 1726245798525.449;  -6.5727
2024-09-14 01:43:18.526449; 1726245798526.449;  -6.5571
2024-09-14 01:43:18.527450; 1726245798527.450;  -6.5447
2024-09-14 01:43:18.528450; 1726245798528.450;  -6.5291
2024-09-14 01:43:18.529450; 1726245798529.450;  -6.5136
2024-09-14 01:43:18.530450; 1726245798530.450;  -6.4980
2024-09-14 01:43:18.531451; 1726245798531.451;  -6.4824
2024-09-14 01:43:18.532451; 1726245798532.451;  -6.4668
2024-09-14 01:43:18.533451; 1726245798533.451;  -6.4513
2024-09-14 01:43:18.534451; 1726245798534.451;  -6.4357
2024-09-14 01:43:18.535452; 1726245798535.452;  -6.4170
2024-09-14 01:43:18.536452; 1726245798536.452;  -6.4015
2024-09-14 01:43:18.537452; 1726245798537.452;  -6.3828
2024-09-14 01:43:18.538452; 1726245798538.452;  -6.3641
2024-09-14 01:43:18.539453; 1726245798539.453;  -6.3454
2024-09-14 01:43:18.540453; 1726245798540.453;  -6.3267
2024-09-14 01:43:18.541453; 1726245798541.453;  -6.3049
2024-09-14 01:43:18.542453; 1726245798542.453;  -6.2863
2024-09-14 01:43:18.543454; 1726245798543.454;  -6.2645
2024-09-14 01:43:18.544454; 1726245798544.454;  -6.2427
2024-09-14 01:43:18.545454; 1726245798545.454;  -6.2240
2024-09-14 01:43:18.546454; 1726245798546.454;  -6.2022
2024-09-14 01:43:18.547455; 1726245798547.455;  -6.1804
2024-09-14 01:43:18.548455; 1726245798548.455;  -6.1617
2024-09-14 01:43:18.549455; 1726245798549.455;  -6.1399
2024-09-14 01:43:18.550455; 1726245798550.455;  -6.1181
2024-09-14 01:43:18.551455; 1726245798551.456;  -6.0963
2024-09-14 01:43:18.552456; 1726245798552.456;  -6.0745
2024-09-14 01:43:18.553456; 1726245798553.456;  -6.0559
2024-09-14 01:43:18.554456; 1726245798554.456;  -6.0341
2024-09-14 01:43:18.555457; 1726245798555.457;  -6.0123
2024-09-14 01:43:18.556457; 1726245798556.457;  -5.9905
2024-09-14 01:43:18.557457; 1726245798557.457;  -5.9687
2024-09-14 01:43:18.558457; 1726245798558.457;  -5.9469
2024-09-14 01:43:18.559458; 1726245798559.458;  -5.9251
2024-09-14 01:43:18.560458; 1726245798560.458;  -5.9033
2024-09-14 01:43:18.561458; 1726245798561.458;  -5.8815
2024-09-14 01:43:18.562458; 1726245798562.458;  -5.8566
2024-09-14 01:43:18.563458; 1726245798563.458;  -5.8317
2024-09-14 01:43:18.564459; 1726245798564.459;  -5.8099
2024-09-14 01:43:18.565459; 1726245798565.459;  -5.7850
2024-09-14 01:43:18.566459; 1726245798566.459;  -5.7601
2024-09-14 01:43:18.567460; 1726245798567.459;  -5.7352
2024-09-14 01:43:18.568460; 1726245798568.460;  -5.7071
2024-09-14 01:43:18.569460; 1726245798569.460;  -5.6822
2024-09-14 01:43:18.570460; 1726245798570.460;  -5.6542
2024-09-14 01:43:18.571460; 1726245798571.460;  -5.6262
2024-09-14 01:43:18.572461; 1726245798572.461;  -5.5951
2024-09-14 01:43:18.573461; 1726245798573.461;  -5.5670
2024-09-14 01:43:18.574461; 1726245798574.461;  -5.5390
2024-09-14 01:43:18.575461; 1726245798575.461;  -5.5110
2024-09-14 01:43:18.576462; 1726245798576.462;  -5.4861
2024-09-14 01:43:18.577462; 1726245798577.462;  -5.4549
2024-09-14 01:43:18.578462; 1726245798578.462;  -5.4269
2024-09-14 01:43:18.579463; 1726245798579.462;  -5.3989
2024-09-14 01:43:18.580463; 1726245798580.463;  -5.3678
2024-09-14 01:43:18.581463; 1726245798581.463;  -5.3366
2024-09-14 01:43:18.582463; 1726245798582.463;  -5.3086
2024-09-14 01:43:18.583463; 1726245798583.463;  -5.2806
2024-09-14 01:43:18.584464; 1726245798584.464;  -5.2526
2024-09-14 01:43:18.585464; 1726245798585.464;  -5.2245
2024-09-14 01:43:18.586464; 1726245798586.464;  -5.1934
2024-09-14 01:43:18.587464; 1726245798587.464;  -5.1654
2024-09-14 01:43:18.588464; 1726245798588.465;  -5.1342
2024-09-14 01:43:18.589465; 1726245798589.465;  -5.1031
2024-09-14 01:43:18.590465; 1726245798590.465;  -5.0782
2024-09-14 01:43:18.591465; 1726245798591.465;  -5.0502
2024-09-14 01:43:18.592466; 1726245798592.466;  -5.0222
2024-09-14 01:43:18.593466; 1726245798593.466;  -4.9941
2024-09-14 01:43:18.594466; 1726245798594.466;  -4.9630
2024-09-14 01:43:18.595466; 1726245798595.466;  -4.9319
2024-09-14 01:43:18.596467; 1726245798596.467;  -4.8976
2024-09-14 01:43:18.597467; 1726245798597.467;  -4.8634
2024-09-14 01:43:18.598467; 1726245798598.467;  -4.8291
2024-09-14 01:43:18.599467; 1726245798599.467;  -4.7949
2024-09-14 01:43:18.600467; 1726245798600.468;  -4.7606
2024-09-14 01:43:18.601468; 1726245798601.468;  -4.7264
2024-09-14 01:43:18.602468; 1726245798602.468;  -4.6921
2024-09-14 01:43:18.603468; 1726245798603.468;  -4.6610
2024-09-14 01:43:18.604469; 1726245798604.469;  -4.6267
2024-09-14 01:43:18.605469; 1726245798605.469;  -4.5956
2024-09-14 01:43:18.606469; 1726245798606.469;  -4.5645
2024-09-14 01:43:18.607469; 1726245798607.469;  -4.5302
2024-09-14 01:43:18.608469; 1726245798608.469;  -4.4960
2024-09-14 01:43:18.609470; 1726245798609.470;  -4.4586
2024-09-14 01:43:18.610470; 1726245798610.470;  -4.4212
2024-09-14 01:43:18.611470; 1726245798611.470;  -4.3870
2024-09-14 01:43:18.612470; 1726245798612.470;  -4.3527
2024-09-14 01:43:18.613471; 1726245798613.471;  -4.3154
2024-09-14 01:43:18.614471; 1726245798614.471;  -4.2780
2024-09-14 01:43:18.615471; 1726245798615.471;  -4.2438
2024-09-14 01:43:18.616472; 1726245798616.471;  -4.2095
2024-09-14 01:43:18.617472; 1726245798617.472;  -4.1753
2024-09-14 01:43:18.618472; 1726245798618.472;  -4.1379
2024-09-14 01:43:18.619472; 1726245798619.472;  -4.0974
2024-09-14 01:43:18.620472; 1726245798620.472;  -4.0601
2024-09-14 01:43:18.621473; 1726245798621.473;  -4.0196
2024-09-14 01:43:18.622473; 1726245798622.473;  -3.9822
2024-09-14 01:43:18.623473; 1726245798623.473;  -3.9418
2024-09-14 01:43:18.624473; 1726245798624.473;  -3.9013
2024-09-14 01:43:18.625474; 1726245798625.474;  -3.8577
2024-09-14 01:43:18.626474; 1726245798626.474;  -3.8141
2024-09-14 01:43:18.627474; 1726245798627.474;  -3.7674
2024-09-14 01:43:18.628474; 1726245798628.474;  -3.7269
2024-09-14 01:43:18.629475; 1726245798629.475;  -3.6833
2024-09-14 01:43:18.630475; 1726245798630.475;  -3.6429
2024-09-14 01:43:18.631475; 1726245798631.475;  -3.5962
2024-09-14 01:43:18.632475; 1726245798632.475;  -3.5557
2024-09-14 01:43:18.633476; 1726245798633.476;  -3.5121
2024-09-14 01:43:18.634476; 1726245798634.476;  -3.4747
2024-09-14 01:43:18.635476; 1726245798635.476;  -3.4311
