# sensorTOOL V1.12.0.1370
# SensorTypeName:optoNCDT ILD1420; SerialNumber:18040260; RecordingDate:2024-09-14_01-55-47.362; SA_AnalogScaleMode:0; SA_ApplicationLanguage:EN; SA_ArticleNumber:4120216; SA_Automatic:1; SA_AveragingType:3; SA_BootVersion:001.006; SA_CableHead:Wire; SA_ChartType:0; SA_CmdStr:GETOUTINFO_RS422\\r\\n; SA_CurrentName:new; SA_DataOutInterface:1; SA_DataRange:50; SA_DataSource:0; SA_DefaultUser:1; SA_DisplayUnit:0; SA_Echo:0; SA_ErrorHysteresis:2; SA_ErrorLevelOut1:0; SA_ErrorOutHoldTime:50; SA_ErrorOutput1:1; SA_HardwareRevision:01; SA_HoldLastValid:-1; SA_InitialChartType:2; SA_KeyFunction:2; SA_Keylock:2; SA_KeylockState:1; SA_KeylockTime:5; SA_LaserPower:0; SA_Master:1; SA_MasterValue:0; SA_Measrate:1; SA_MeasurePeak:0; SA_MedianCount:9; SA_MovingCount:2; SA_MultiFunctionInputLevel:0; SA_MultiFunctionInputMode:0; SA_Option:000; SA_PresetMode:3; SA_PresetNames:Standard; SA_ROIEnd:511; SA_ROIStart:0; SA_Range:200; SA_RecursiveCount:2; SA_ResampleAnalog:0; SA_ResampleRS422:0; SA_Resampling:1; SA_Sensor:ILD1420; SA_SensorBaudrate:921600; SA_SerialNumber:18040260; SA_SettingNames:new; SA_Softwareversion:001.040; SA_TimeRange:3; SA_TriggerCount:1; SA_TriggerMode:0; SA_TriggerMoment:0; SA_UpperLimit:0; SA_UserLevel:1; SA_ViewRange:1
# SignalName           ; DataRate             ; RangeMin             ; RangeMax             
# Distance1            ; 1000 Hz              ; -102 mm              ; 713.9750916 mm       
# VideoResolution:65536; VideoSignalCount:0
# 1_Averaging:Disabled; 2_Triggering:Disabled; 3_Subsampling:Disabled; 4_Mastering:Disabled
# Data acquisition time; Epoch time (ms); Distance1 (mm)
2024-09-14 01:55:47.461803; 1726246547461.803;  10.0817
2024-09-14 01:55:47.462804; 1726246547462.804;  10.0879
2024-09-14 01:55:47.463804; 1726246547463.804;  10.0941
2024-09-14 01:55:47.464804; 1726246547464.804;  10.1004
2024-09-14 01:55:47.465804; 1726246547465.804;  10.1066
2024-09-14 01:55:47.466805; 1726246547466.805;  10.1128
2024-09-14 01:55:47.467805; 1726246547467.805;  10.1159
2024-09-14 01:55:47.468805; 1726246547468.805;  10.1222
2024-09-14 01:55:47.469805; 1726246547469.805;  10.1253
2024-09-14 01:55:47.470805; 1726246547470.805;  10.1284
2024-09-14 01:55:47.471805; 1726246547471.805;  10.1346
2024-09-14 01:55:47.472805; 1726246547472.805;  10.1346
2024-09-14 01:55:47.473805; 1726246547473.805;  10.1377
2024-09-14 01:55:47.474805; 1726246547474.805;  10.1408
2024-09-14 01:55:47.475805; 1726246547475.805;  10.1440
2024-09-14 01:55:47.476805; 1726246547476.805;  10.1440
2024-09-14 01:55:47.477805; 1726246547477.805;  10.1471
2024-09-14 01:55:47.478806; 1726246547478.805;  10.1502
2024-09-14 01:55:47.479806; 1726246547479.806;  10.1502
2024-09-14 01:55:47.480806; 1726246547480.806;  10.1502
2024-09-14 01:55:47.481806; 1726246547481.806;  10.1502
2024-09-14 01:55:47.482806; 1726246547482.806;  10.1502
2024-09-14 01:55:47.483807; 1726246547483.807;  10.1502
2024-09-14 01:55:47.484807; 1726246547484.807;  10.1502
2024-09-14 01:55:47.485807; 1726246547485.807;  10.1502
2024-09-14 01:55:47.486807; 1726246547486.807;  10.1440
2024-09-14 01:55:47.487807; 1726246547487.808;  10.1440
2024-09-14 01:55:47.488808; 1726246547488.808;  10.1440
2024-09-14 01:55:47.489808; 1726246547489.808;  10.1408
2024-09-14 01:55:47.490808; 1726246547490.808;  10.1377
2024-09-14 01:55:47.491809; 1726246547491.809;  10.1315
2024-09-14 01:55:47.492809; 1726246547492.809;  10.1284
2024-09-14 01:55:47.493809; 1726246547493.809;  10.1253
2024-09-14 01:55:47.494809; 1726246547494.809;  10.1222
2024-09-14 01:55:47.495809; 1726246547495.809;  10.1190
2024-09-14 01:55:47.496809; 1726246547496.809;  10.1128
2024-09-14 01:55:47.497809; 1726246547497.809;  10.1097
2024-09-14 01:55:47.498809; 1726246547498.809;  10.1035
2024-09-14 01:55:47.499809; 1726246547499.809;  10.0973
2024-09-14 01:55:47.500809; 1726246547500.809;  10.0910
2024-09-14 01:55:47.501809; 1726246547501.809;  10.0817
2024-09-14 01:55:47.502809; 1726246547502.809;  10.0786
2024-09-14 01:55:47.503809; 1726246547503.809;  10.0692
2024-09-14 01:55:47.504810; 1726246547504.810;  10.0630
2024-09-14 01:55:47.505810; 1726246547505.810;  10.0568
2024-09-14 01:55:47.506810; 1726246547506.810;  10.0474
2024-09-14 01:55:47.507810; 1726246547507.810;  10.0350
2024-09-14 01:55:47.508810; 1726246547508.811;  10.0288
2024-09-14 01:55:47.509811; 1726246547509.811;  10.0194
2024-09-14 01:55:47.510811; 1726246547510.811;  10.0070
2024-09-14 01:55:47.511811; 1726246547511.811;   9.9976
2024-09-14 01:55:47.512811; 1726246547512.812;   9.9883
2024-09-14 01:55:47.513812; 1726246547513.812;   9.9758
2024-09-14 01:55:47.514812; 1726246547514.812;   9.9634
2024-09-14 01:55:47.515812; 1726246547515.812;   9.9540
2024-09-14 01:55:47.516813; 1726246547516.813;   9.9416
2024-09-14 01:55:47.517813; 1726246547517.813;   9.9291
2024-09-14 01:55:47.518813; 1726246547518.813;   9.9167
2024-09-14 01:55:47.519813; 1726246547519.813;   9.9011
2024-09-14 01:55:47.520813; 1726246547520.813;   9.8886
2024-09-14 01:55:47.521813; 1726246547521.813;   9.8731
2024-09-14 01:55:47.522813; 1726246547522.813;   9.8575
2024-09-14 01:55:47.523813; 1726246547523.813;   9.8451
2024-09-14 01:55:47.524813; 1726246547524.813;   9.8326
2024-09-14 01:55:47.525813; 1726246547525.813;   9.8170
2024-09-14 01:55:47.526813; 1726246547526.813;   9.7984
2024-09-14 01:55:47.527813; 1726246547527.813;   9.7859
2024-09-14 01:55:47.528813; 1726246547528.813;   9.7703
2024-09-14 01:55:47.529813; 1726246547529.813;   9.7548
2024-09-14 01:55:47.530813; 1726246547530.813;   9.7361
2024-09-14 01:55:47.531813; 1726246547531.813;   9.7205
2024-09-14 01:55:47.532813; 1726246547532.813;   9.7018
2024-09-14 01:55:47.533813; 1726246547533.813;   9.6863
2024-09-14 01:55:47.534813; 1726246547534.813;   9.6707
2024-09-14 01:55:47.535813; 1726246547535.813;   9.6551
2024-09-14 01:55:47.536813; 1726246547536.813;   9.6396
2024-09-14 01:55:47.537813; 1726246547537.813;   9.6209
2024-09-14 01:55:47.538813; 1726246547538.813;   9.6084
2024-09-14 01:55:47.539813; 1726246547539.813;   9.5897
2024-09-14 01:55:47.540813; 1726246547540.813;   9.5711
2024-09-14 01:55:47.541813; 1726246547541.813;   9.5524
2024-09-14 01:55:47.542813; 1726246547542.813;   9.5368
2024-09-14 01:55:47.543813; 1726246547543.813;   9.5150
2024-09-14 01:55:47.544813; 1726246547544.813;   9.4963
2024-09-14 01:55:47.545813; 1726246547545.813;   9.4808
2024-09-14 01:55:47.546813; 1726246547546.813;   9.4621
2024-09-14 01:55:47.547813; 1726246547547.813;   9.4434
2024-09-14 01:55:47.548813; 1726246547548.813;   9.4216
2024-09-14 01:55:47.549813; 1726246547549.813;   9.4029
2024-09-14 01:55:47.550813; 1726246547550.813;   9.3780
2024-09-14 01:55:47.551813; 1726246547551.813;   9.3562
2024-09-14 01:55:47.552813; 1726246547552.813;   9.3375
2024-09-14 01:55:47.553813; 1726246547553.813;   9.3158
2024-09-14 01:55:47.554814; 1726246547554.814;   9.2940
2024-09-14 01:55:47.555814; 1726246547555.814;   9.2690
2024-09-14 01:55:47.556814; 1726246547556.814;   9.2441
2024-09-14 01:55:47.557814; 1726246547557.814;   9.2192
2024-09-14 01:55:47.558815; 1726246547558.815;   9.1943
2024-09-14 01:55:47.559815; 1726246547559.815;   9.1663
2024-09-14 01:55:47.560815; 1726246547560.815;   9.1445
2024-09-14 01:55:47.561815; 1726246547561.815;   9.1196
2024-09-14 01:55:47.562816; 1726246547562.816;   9.0947
2024-09-14 01:55:47.563816; 1726246547563.816;   9.0698
2024-09-14 01:55:47.564816; 1726246547564.816;   9.0449
2024-09-14 01:55:47.565816; 1726246547565.816;   9.0231
2024-09-14 01:55:47.566817; 1726246547566.817;   8.9982
2024-09-14 01:55:47.567817; 1726246547567.817;   8.9764
2024-09-14 01:55:47.568817; 1726246547568.817;   8.9515
2024-09-14 01:55:47.569817; 1726246547569.817;   8.9297
2024-09-14 01:55:47.570817; 1726246547570.817;   8.9048
2024-09-14 01:55:47.571817; 1726246547571.817;   8.8767
2024-09-14 01:55:47.572817; 1726246547572.817;   8.8518
2024-09-14 01:55:47.573817; 1726246547573.817;   8.8269
2024-09-14 01:55:47.574817; 1726246547574.817;   8.7958
2024-09-14 01:55:47.575817; 1726246547575.817;   8.7678
2024-09-14 01:55:47.576817; 1726246547576.817;   8.7304
2024-09-14 01:55:47.577817; 1726246547577.817;   8.6993
2024-09-14 01:55:47.578817; 1726246547578.817;   8.6681
2024-09-14 01:55:47.579818; 1726246547579.818;   8.6370
2024-09-14 01:55:47.580818; 1726246547580.818;   8.6059
2024-09-14 01:55:47.581818; 1726246547581.818;   8.5778
2024-09-14 01:55:47.582818; 1726246547582.818;   8.5467
2024-09-14 01:55:47.583819; 1726246547583.819;   8.5156
2024-09-14 01:55:47.584819; 1726246547584.819;   8.4907
2024-09-14 01:55:47.585819; 1726246547585.819;   8.4626
2024-09-14 01:55:47.586819; 1726246547586.819;   8.4346
2024-09-14 01:55:47.587820; 1726246547587.820;   8.4066
2024-09-14 01:55:47.588820; 1726246547588.820;   8.3755
2024-09-14 01:55:47.589820; 1726246547589.820;   8.3505
2024-09-14 01:55:47.590820; 1726246547590.820;   8.3194
2024-09-14 01:55:47.591820; 1726246547591.821;   8.2883
2024-09-14 01:55:47.592821; 1726246547592.821;   8.2509
2024-09-14 01:55:47.593821; 1726246547593.821;   8.2104
2024-09-14 01:55:47.594821; 1726246547594.821;   8.1731
2024-09-14 01:55:47.595822; 1726246547595.822;   8.1388
2024-09-14 01:55:47.596822; 1726246547596.822;   8.1015
2024-09-14 01:55:47.597822; 1726246547597.822;   8.0641
2024-09-14 01:55:47.598822; 1726246547598.822;   8.0299
2024-09-14 01:55:47.599822; 1726246547599.823;   7.9925
2024-09-14 01:55:47.600823; 1726246547600.823;   7.9582
2024-09-14 01:55:47.601823; 1726246547601.823;   7.9209
2024-09-14 01:55:47.602823; 1726246547602.823;   7.8866
2024-09-14 01:55:47.603823; 1726246547603.823;   7.8524
2024-09-14 01:55:47.604824; 1726246547604.824;   7.8181
2024-09-14 01:55:47.605824; 1726246547605.824;   7.7839
2024-09-14 01:55:47.606824; 1726246547606.824;   7.7496
2024-09-14 01:55:47.607824; 1726246547607.824;   7.7060
2024-09-14 01:55:47.608824; 1726246547608.824;   7.6687
2024-09-14 01:55:47.609824; 1726246547609.824;   7.6282
2024-09-14 01:55:47.610824; 1726246547610.824;   7.5877
2024-09-14 01:55:47.611824; 1726246547611.824;   7.5473
2024-09-14 01:55:47.612824; 1726246547612.824;   7.5037
2024-09-14 01:55:47.613824; 1726246547613.824;   7.4632
