# sensorTOOL V1.12.0.1370
# SensorTypeName:optoNCDT ILD1420; SerialNumber:18040260; RecordingDate:2024-09-14_01-49-45.377; SA_AnalogScaleMode:0; SA_ApplicationLanguage:EN; SA_ArticleNumber:4120216; SA_Automatic:1; SA_AveragingType:3; SA_BootVersion:001.006; SA_CableHead:Wire; SA_ChartType:0; SA_CmdStr:GETOUTINFO_RS422\\r\\n; SA_CurrentName:new; SA_DataOutInterface:1; SA_DataRange:50; SA_DataSource:0; SA_DefaultUser:1; SA_DisplayUnit:0; SA_Echo:0; SA_ErrorHysteresis:2; SA_ErrorLevelOut1:0; SA_ErrorOutHoldTime:50; SA_ErrorOutput1:1; SA_HardwareRevision:01; SA_HoldLastValid:-1; SA_InitialChartType:2; SA_KeyFunction:2; SA_Keylock:2; SA_KeylockState:1; SA_KeylockTime:5; SA_LaserPower:0; SA_Master:1; SA_MasterValue:0; SA_Measrate:1; SA_MeasurePeak:0; SA_MedianCount:9; SA_MovingCount:2; SA_MultiFunctionInputLevel:0; SA_MultiFunctionInputMode:0; SA_Option:000; SA_PresetMode:3; SA_PresetNames:Standard; SA_ROIEnd:511; SA_ROIStart:0; SA_Range:200; SA_RecursiveCount:2; SA_ResampleAnalog:0; SA_ResampleRS422:0; SA_Resampling:1; SA_Sensor:ILD1420; SA_SensorBaudrate:921600; SA_SerialNumber:18040260; SA_SettingNames:new; SA_Softwareversion:001.040; SA_TimeRange:3; SA_TriggerCount:1; SA_TriggerMode:0; SA_TriggerMoment:0; SA_UpperLimit:0; SA_UserLevel:1; SA_ViewRange:1
# SignalName           ; DataRate             ; RangeMin             ; RangeMax             
# Distance1            ; 1000 Hz              ; -102 mm              ; 713.9750916 mm       
# VideoResolution:65536; VideoSignalCount:0
# 1_Averaging:Disabled; 2_Triggering:Disabled; 3_Subsampling:Disabled; 4_Mastering:Disabled
# Data acquisition time; Epoch time (ms); Distance1 (mm)
2024-09-14 01:49:45.424960; 1726246185424.960;   9.3469
2024-09-14 01:49:45.425961; 1726246185425.960;   9.3251
2024-09-14 01:49:45.426961; 1726246185426.961;   9.3033
2024-09-14 01:49:45.427961; 1726246185427.961;   9.2784
2024-09-14 01:49:45.428961; 1726246185428.961;   9.2566
2024-09-14 01:49:45.429961; 1726246185429.961;   9.2348
2024-09-14 01:49:45.430962; 1726246185430.962;   9.2099
2024-09-14 01:49:45.431962; 1726246185431.962;   9.1850
2024-09-14 01:49:45.432962; 1726246185432.962;   9.1601
2024-09-14 01:49:45.433962; 1726246185433.962;   9.1383
2024-09-14 01:49:45.434963; 1726246185434.963;   9.1134
2024-09-14 01:49:45.435963; 1726246185435.963;   9.0916
2024-09-14 01:49:45.436963; 1726246185436.963;   9.0667
2024-09-14 01:49:45.437963; 1726246185437.963;   9.0418
2024-09-14 01:49:45.438964; 1726246185438.964;   9.0168
2024-09-14 01:49:45.439964; 1726246185439.964;   8.9951
2024-09-14 01:49:45.440964; 1726246185440.964;   8.9733
2024-09-14 01:49:45.441964; 1726246185441.964;   8.9484
2024-09-14 01:49:45.442965; 1726246185442.965;   8.9234
2024-09-14 01:49:45.443965; 1726246185443.965;   8.9016
2024-09-14 01:49:45.444965; 1726246185444.965;   8.8767
2024-09-14 01:49:45.445965; 1726246185445.965;   8.8518
2024-09-14 01:49:45.446966; 1726246185446.966;   8.8238
2024-09-14 01:49:45.447966; 1726246185447.966;   8.7989
2024-09-14 01:49:45.448966; 1726246185448.966;   8.7678
2024-09-14 01:49:45.449966; 1726246185449.966;   8.7335
2024-09-14 01:49:45.450967; 1726246185450.967;   8.7024
2024-09-14 01:49:45.451967; 1726246185451.967;   8.6681
2024-09-14 01:49:45.452967; 1726246185452.967;   8.6401
2024-09-14 01:49:45.453967; 1726246185453.967;   8.6090
2024-09-14 01:49:45.454967; 1726246185454.968;   8.5778
2024-09-14 01:49:45.455968; 1726246185455.968;   8.5467
2024-09-14 01:49:45.456968; 1726246185456.968;   8.5156
2024-09-14 01:49:45.457968; 1726246185457.968;   8.4875
2024-09-14 01:49:45.458968; 1726246185458.969;   8.4595
2024-09-14 01:49:45.459969; 1726246185459.969;   8.4346
2024-09-14 01:49:45.460969; 1726246185460.969;   8.4035
2024-09-14 01:49:45.461969; 1726246185461.969;   8.3786
2024-09-14 01:49:45.462970; 1726246185462.969;   8.3505
2024-09-14 01:49:45.463970; 1726246185463.970;   8.3194
2024-09-14 01:49:45.464970; 1726246185464.970;   8.2883
2024-09-14 01:49:45.465970; 1726246185465.970;   8.2540
2024-09-14 01:49:45.466970; 1726246185466.970;   8.2167
2024-09-14 01:49:45.467971; 1726246185467.971;   8.1793
2024-09-14 01:49:45.468971; 1726246185468.971;   8.1419
2024-09-14 01:49:45.469971; 1726246185469.971;   8.1046
2024-09-14 01:49:45.470971; 1726246185470.971;   8.0703
2024-09-14 01:49:45.471972; 1726246185471.972;   8.0361
2024-09-14 01:49:45.472972; 1726246185472.972;   7.9987
2024-09-14 01:49:45.473972; 1726246185473.972;   7.9614
2024-09-14 01:49:45.474972; 1726246185474.972;   7.9302
2024-09-14 01:49:45.475973; 1726246185475.973;   7.8929
2024-09-14 01:49:45.476973; 1726246185476.973;   7.8617
2024-09-14 01:49:45.477973; 1726246185477.973;   7.8275
2024-09-14 01:49:45.478973; 1726246185478.973;   7.7932
2024-09-14 01:49:45.479974; 1726246185479.974;   7.7590
2024-09-14 01:49:45.480974; 1726246185480.974;   7.7185
2024-09-14 01:49:45.481974; 1726246185481.974;   7.6780
2024-09-14 01:49:45.482974; 1726246185482.974;   7.6344
2024-09-14 01:49:45.483975; 1726246185483.975;   7.5971
2024-09-14 01:49:45.484975; 1726246185484.975;   7.5566
2024-09-14 01:49:45.485975; 1726246185485.975;   7.5161
2024-09-14 01:49:45.486975; 1726246185486.975;   7.4725
2024-09-14 01:49:45.487976; 1726246185487.976;   7.4352
2024-09-14 01:49:45.488976; 1726246185488.976;   7.3916
2024-09-14 01:49:45.489976; 1726246185489.976;   7.3542
2024-09-14 01:49:45.490976; 1726246185490.976;   7.3200
2024-09-14 01:49:45.491976; 1726246185491.977;   7.2826
2024-09-14 01:49:45.492977; 1726246185492.977;   7.2452
2024-09-14 01:49:45.493977; 1726246185493.977;   7.2048
2024-09-14 01:49:45.494977; 1726246185494.977;   7.1643
2024-09-14 01:49:45.495978; 1726246185495.978;   7.1207
2024-09-14 01:49:45.496978; 1726246185496.978;   7.0740
2024-09-14 01:49:45.497978; 1726246185497.978;   7.0273
2024-09-14 01:49:45.498978; 1726246185498.978;   6.9806
2024-09-14 01:49:45.499979; 1726246185499.979;   6.9308
2024-09-14 01:49:45.500979; 1726246185500.979;   6.8810
2024-09-14 01:49:45.501979; 1726246185501.979;   6.8342
2024-09-14 01:49:45.502979; 1726246185502.979;   6.7844
2024-09-14 01:49:45.503979; 1726246185503.979;   6.7440
2024-09-14 01:49:45.504980; 1726246185504.980;   6.7004
2024-09-14 01:49:45.505980; 1726246185505.980;   6.6568
2024-09-14 01:49:45.506980; 1726246185506.980;   6.6163
2024-09-14 01:49:45.507981; 1726246185507.980;   6.5727
2024-09-14 01:49:45.508981; 1726246185508.981;   6.5260
2024-09-14 01:49:45.509981; 1726246185509.981;   6.4793
2024-09-14 01:49:45.510981; 1726246185510.981;   6.4326
2024-09-14 01:49:45.511981; 1726246185511.981;   6.3797
2024-09-14 01:49:45.512982; 1726246185512.982;   6.3267
2024-09-14 01:49:45.513982; 1726246185513.982;   6.2738
2024-09-14 01:49:45.514982; 1726246185514.982;   6.2240
2024-09-14 01:49:45.515982; 1726246185515.982;   6.1742
2024-09-14 01:49:45.516983; 1726246185516.983;   6.1275
2024-09-14 01:49:45.517983; 1726246185517.983;   6.0777
2024-09-14 01:49:45.518983; 1726246185518.983;   6.0341
2024-09-14 01:49:45.519983; 1726246185519.983;   5.9905
2024-09-14 01:49:45.520984; 1726246185520.984;   5.9500
2024-09-14 01:49:45.521984; 1726246185521.984;   5.9033
2024-09-14 01:49:45.522984; 1726246185522.984;   5.8535
2024-09-14 01:49:45.523984; 1726246185523.984;   5.7974
2024-09-14 01:49:45.524985; 1726246185524.985;   5.7414
2024-09-14 01:49:45.525985; 1726246185525.985;   5.6885
2024-09-14 01:49:45.526985; 1726246185526.985;   5.6324
2024-09-14 01:49:45.527985; 1726246185527.985;   5.5795
