# sensorTOOL V1.12.0.1370
# SensorTypeName:optoNCDT ILD1420; SerialNumber:18040260; RecordingDate:2024-09-14_00-08-50.182; SA_AnalogScaleMode:0; SA_ApplicationLanguage:EN; SA_ArticleNumber:4120216; SA_Automatic:1; SA_AveragingType:3; SA_BootVersion:001.006; SA_CableHead:Wire; SA_ChartType:0; SA_CmdStr:GETOUTINFO_RS422\\r\\n; SA_CurrentName:new; SA_DataOutInterface:1; SA_DataRange:50; SA_DataSource:0; SA_DefaultUser:1; SA_DisplayUnit:0; SA_Echo:0; SA_ErrorHysteresis:2; SA_ErrorLevelOut1:0; SA_ErrorOutHoldTime:50; SA_ErrorOutput1:1; SA_HardwareRevision:01; SA_HoldLastValid:-1; SA_InitialChartType:2; SA_KeyFunction:2; SA_Keylock:2; SA_KeylockState:1; SA_KeylockTime:5; SA_LaserPower:0; SA_Master:1; SA_MasterValue:0; SA_Measrate:1; SA_MeasurePeak:0; SA_MedianCount:9; SA_MovingCount:2; SA_MultiFunctionInputLevel:0; SA_MultiFunctionInputMode:0; SA_Option:000; SA_PresetMode:3; SA_PresetNames:Standard; SA_ROIEnd:511; SA_ROIStart:0; SA_Range:200; SA_RecursiveCount:2; SA_ResampleAnalog:0; SA_ResampleRS422:0; SA_Resampling:1; SA_Sensor:ILD1420; SA_SensorBaudrate:921600; SA_SerialNumber:18040260; SA_SettingNames:new; SA_Softwareversion:001.040; SA_TimeRange:3; SA_TriggerCount:1; SA_TriggerMode:0; SA_TriggerMoment:0; SA_UpperLimit:0; SA_UserLevel:1; SA_ViewRange:1
# SignalName           ; DataRate             ; RangeMin             ; RangeMax             
# Distance1            ; 1000 Hz              ; -102 mm              ; 713.9750916 mm       
# VideoResolution:65536; VideoSignalCount:0
# 1_Averaging:Disabled; 2_Triggering:Disabled; 3_Subsampling:Disabled; 4_Mastering:Disabled
# Data acquisition time; Epoch time (ms); Distance1 (mm)
2024-09-14 00:08:50.133591; 1726240130133.591;   3.4311
2024-09-14 00:08:50.134591; 1726240130134.591;   3.4498
2024-09-14 00:08:50.135591; 1726240130135.591;   3.4654
2024-09-14 00:08:50.136590; 1726240130136.591;   3.4841
2024-09-14 00:08:50.137591; 1726240130137.591;   3.5027
2024-09-14 00:08:50.138591; 1726240130138.591;   3.5214
2024-09-14 00:08:50.139590; 1726240130139.591;   3.5401
2024-09-14 00:08:50.140591; 1726240130140.591;   3.5557
2024-09-14 00:08:50.141591; 1726240130141.591;   3.5775
2024-09-14 00:08:50.142590; 1726240130142.591;   3.5962
2024-09-14 00:08:50.143591; 1726240130143.591;   3.6148
2024-09-14 00:08:50.144591; 1726240130144.591;   3.6335
2024-09-14 00:08:50.145591; 1726240130145.591;   3.6522
2024-09-14 00:08:50.146590; 1726240130146.591;   3.6678
2024-09-14 00:08:50.147591; 1726240130147.591;   3.6864
2024-09-14 00:08:50.148591; 1726240130148.591;   3.7051
2024-09-14 00:08:50.149590; 1726240130149.591;   3.7238
2024-09-14 00:08:50.150591; 1726240130150.591;   3.7425
2024-09-14 00:08:50.151591; 1726240130151.591;   3.7581
2024-09-14 00:08:50.152590; 1726240130152.591;   3.7767
2024-09-14 00:08:50.153591; 1726240130153.591;   3.7923
2024-09-14 00:08:50.154591; 1726240130154.591;   3.8110
2024-09-14 00:08:50.155591; 1726240130155.591;   3.8266
2024-09-14 00:08:50.156591; 1726240130156.591;   3.8452
2024-09-14 00:08:50.157591; 1726240130157.591;   3.8577
2024-09-14 00:08:50.158591; 1726240130158.591;   3.8795
2024-09-14 00:08:50.159590; 1726240130159.591;   3.8919
2024-09-14 00:08:50.160591; 1726240130160.591;   3.9075
2024-09-14 00:08:50.161591; 1726240130161.591;   3.9262
2024-09-14 00:08:50.162590; 1726240130162.591;   3.9418
2024-09-14 00:08:50.163591; 1726240130163.591;   3.9542
2024-09-14 00:08:50.164591; 1726240130164.591;   3.9698
2024-09-14 00:08:50.165591; 1726240130165.591;   3.9822
2024-09-14 00:08:50.166591; 1726240130166.591;   4.0009
2024-09-14 00:08:50.167591; 1726240130167.591;   4.0134
2024-09-14 00:08:50.168591; 1726240130168.591;   4.0289
2024-09-14 00:08:50.169590; 1726240130169.591;   4.0414
2024-09-14 00:08:50.170591; 1726240130170.591;   4.0538
2024-09-14 00:08:50.171591; 1726240130171.591;   4.0694
2024-09-14 00:08:50.172590; 1726240130172.591;   4.0850
2024-09-14 00:08:50.173591; 1726240130173.591;   4.0974
2024-09-14 00:08:50.174591; 1726240130174.591;   4.1099
2024-09-14 00:08:50.175590; 1726240130175.591;   4.1223
2024-09-14 00:08:50.176591; 1726240130176.591;   4.1348
2024-09-14 00:08:50.177591; 1726240130177.591;   4.1473
2024-09-14 00:08:50.178591; 1726240130178.591;   4.1628
2024-09-14 00:08:50.179591; 1726240130179.591;   4.1753
2024-09-14 00:08:50.180591; 1726240130180.591;   4.1877
2024-09-14 00:08:50.181591; 1726240130181.591;   4.2033
2024-09-14 00:08:50.182590; 1726240130182.591;   4.2158
2024-09-14 00:08:50.183591; 1726240130183.591;   4.2313
2024-09-14 00:08:50.184591; 1726240130184.591;   4.2438
2024-09-14 00:08:50.185590; 1726240130185.591;   4.2562
2024-09-14 00:08:50.186591; 1726240130186.591;   4.2718
2024-09-14 00:08:50.187591; 1726240130187.591;   4.2842
2024-09-14 00:08:50.188591; 1726240130188.591;   4.2967
2024-09-14 00:08:50.189591; 1726240130189.591;   4.3092
2024-09-14 00:08:50.190591; 1726240130190.591;   4.3216
2024-09-14 00:08:50.191591; 1726240130191.591;   4.3341
