# sensorTOOL V1.12.0.1370
# SensorTypeName:optoNCDT ILD1420; SerialNumber:18040260; RecordingDate:2024-08-29_04-08-19.258; SA_AnalogScaleMode:0; SA_ApplicationLanguage:EN; SA_ArticleNumber:4120216; SA_Automatic:1; SA_AveragingType:3; SA_BootVersion:001.006; SA_CableHead:Wire; SA_ChartType:0; SA_CurrentName:new; SA_DataOutInterface:1; SA_DataRange:50; SA_DataSource:0; SA_DefaultUser:1; SA_DisplayUnit:0; SA_Echo:0; SA_ErrorHysteresis:2; SA_ErrorLevelOut1:0; SA_ErrorOutHoldTime:50; SA_ErrorOutput1:1; SA_HardwareRevision:01; SA_HoldLastValid:-1; SA_InitialChartType:2; SA_KeyFunction:2; SA_Keylock:2; SA_KeylockState:1; SA_KeylockTime:5; SA_LaserPower:0; SA_Master:1; SA_MasterValue:0; SA_Measrate:1; SA_MeasurePeak:0; SA_MedianCount:9; SA_MovingCount:2; SA_MultiFunctionInputLevel:0; SA_MultiFunctionInputMode:0; SA_Option:000; SA_PresetMode:3; SA_PresetNames:Standard; SA_ROIEnd:511; SA_ROIStart:0; SA_Range:200; SA_RecursiveCount:2; SA_ResampleAnalog:0; SA_ResampleRS422:0; SA_Resampling:1; SA_Sensor:ILD1420; SA_SensorBaudrate:921600; SA_SerialNumber:18040260; SA_SettingNames:new; SA_Softwareversion:001.040; SA_TimeRange:3; SA_TriggerCount:1; SA_TriggerMode:0; SA_TriggerMoment:0; SA_UpperLimit:0; SA_UserLevel:1; SA_ViewRange:1
# SignalName           ; DataRate             ; RangeMin             ; RangeMax             
# Distance1            ; 1000 Hz              ; -102 mm              ; 713.9750916 mm       
# VideoResolution:65536; VideoSignalCount:0
# 1_Averaging:Disabled; 2_Triggering:Disabled; 3_Subsampling:Disabled; 4_Mastering:Disabled
# Data acquisition time; Epoch time (ms); Distance1 (mm)
2024-08-29 04:08:19.392305; 1724872099392.305;   3.3159
2024-08-29 04:08:19.393306; 1724872099393.305;   3.3315
2024-08-29 04:08:19.394306; 1724872099394.306;   3.3533
2024-08-29 04:08:19.395306; 1724872099395.306;   3.3689
2024-08-29 04:08:19.396306; 1724872099396.306;   3.3907
2024-08-29 04:08:19.397306; 1724872099397.306;   3.4093
2024-08-29 04:08:19.398307; 1724872099398.307;   3.4249
2024-08-29 04:08:19.399307; 1724872099399.307;   3.4436
2024-08-29 04:08:19.400307; 1724872099400.307;   3.4654
2024-08-29 04:08:19.401307; 1724872099401.307;   3.4810
2024-08-29 04:08:19.402307; 1724872099402.308;   3.4996
2024-08-29 04:08:19.403308; 1724872099403.308;   3.5152
2024-08-29 04:08:19.404308; 1724872099404.308;   3.5339
2024-08-29 04:08:19.405308; 1724872099405.308;   3.5526
2024-08-29 04:08:19.406309; 1724872099406.309;   3.5712
2024-08-29 04:08:19.407309; 1724872099407.309;   3.5868
2024-08-29 04:08:19.408309; 1724872099408.309;   3.6055
2024-08-29 04:08:19.409309; 1724872099409.309;   3.6211
2024-08-29 04:08:19.410310; 1724872099410.310;   3.6397
2024-08-29 04:08:19.411310; 1724872099411.310;   3.6553
2024-08-29 04:08:19.412310; 1724872099412.310;   3.6709
2024-08-29 04:08:19.413310; 1724872099413.310;   3.6864
2024-08-29 04:08:19.414310; 1724872099414.311;   3.7020
2024-08-29 04:08:19.415311; 1724872099415.311;   3.7145
2024-08-29 04:08:19.416311; 1724872099416.311;   3.7300
2024-08-29 04:08:19.417311; 1724872099417.311;   3.7425
2024-08-29 04:08:19.418312; 1724872099418.312;   3.7581
2024-08-29 04:08:19.419312; 1724872099419.312;   3.7736
2024-08-29 04:08:19.420312; 1724872099420.312;   3.7861
2024-08-29 04:08:19.421312; 1724872099421.312;   3.7954
