# sensorTOOL V1.12.0.1370
# SensorTypeName:optoNCDT ILD1420	 SerialNumber:18040260	 RecordingDate:2024-09-14_11-16-36.527	 SA_AnalogScaleMode:0	 SA_ApplicationLanguage:EN	 SA_ArticleNumber:4120216	 SA_Automatic:1	 SA_AveragingType:3	 SA_BootVersion:001.006	 SA_CableHead:Wire	 SA_ChartType:0	 SA_CurrentName:new	 SA_DataOutInterface:1	 SA_DataRange:50	 SA_DataSource:0	 SA_DefaultUser:1	 SA_DisplayUnit:0	 SA_Echo:0	 SA_ErrorHysteresis:2	 SA_ErrorLevelOut1:0	 SA_ErrorOutHoldTime:50	 SA_ErrorOutput1:1	 SA_HardwareRevision:01	 SA_HoldLastValid:-1	 SA_InitialChartType:2	 SA_KeyFunction:2	 SA_Keylock:2	 SA_KeylockState:1	 SA_KeylockTime:5	 SA_LaserPower:0	 SA_Master:1	 SA_MasterValue:0	 SA_Measrate:1	 SA_MeasurePeak:0	 SA_MedianCount:9	 SA_MovingCount:2	 SA_MultiFunctionInputLevel:0	 SA_MultiFunctionInputMode:0	 SA_Option:000	 SA_PresetMode:3	 SA_PresetNames:Standard	 SA_ROIEnd:511	 SA_ROIStart:0	 SA_Range:200	 SA_RecursiveCount:2	 SA_ResampleAnalog:0	 SA_ResampleRS422:0	 SA_Resampling:1	 SA_Sensor:ILD1420	 SA_SensorBaudrate:921600	 SA_SerialNumber:18040260	 SA_SettingNames:new	 SA_Softwareversion:001.040	 SA_TimeRange:3	 SA_TriggerCount:1	 SA_TriggerMode:0	 SA_TriggerMoment:0	 SA_UpperLimit:0	 SA_UserLevel:1	 SA_ViewRange:1
# SignalName           	 DataRate             	 RangeMin             	 RangeMax             
# Distance1            	 1000 Hz              	 -102 mm              	 713,9750916 mm       
# VideoResolution:65536	 VideoSignalCount:0
# 1_Averaging:Disabled	 2_Triggering:Disabled	 3_Subsampling:Disabled	 4_Mastering:Disabled
# Data acquisition time	 Epoch time (ms)	 Distance1 (mm)
2024-09-14 11:16:37,310019	 1726280197310,019	  -2,8240
2024-09-14 11:16:37,311019	 1726280197311,019	  -2,9049
2024-09-14 11:16:37,312019	 1726280197312,019	  -2,9797
2024-09-14 11:16:37,313019	 1726280197313,020	  -3,0451
2024-09-14 11:16:37,314020	 1726280197314,020	  -3,0980
2024-09-14 11:16:37,315020	 1726280197315,020	  -3,1447
2024-09-14 11:16:37,316020	 1726280197316,020	  -3,1852
2024-09-14 11:16:37,317020	 1726280197317,021	  -3,2256
2024-09-14 11:16:37,318021	 1726280197318,021	  -3,2599
2024-09-14 11:16:37,319021	 1726280197319,021	  -3,2941
2024-09-14 11:16:37,320021	 1726280197320,021	  -3,3253
2024-09-14 11:16:37,321022	 1726280197321,021	  -3,3564
2024-09-14 11:16:37,322022	 1726280197322,022	  -3,3875
2024-09-14 11:16:37,323022	 1726280197323,022	  -3,4187
2024-09-14 11:16:37,324022	 1726280197324,022	  -3,4467
2024-09-14 11:16:37,325022	 1726280197325,022	  -3,4685
2024-09-14 11:16:37,326023	 1726280197326,023	  -3,4903
2024-09-14 11:16:37,327023	 1726280197327,023	  -3,5090
2024-09-14 11:16:37,328023	 1726280197328,023	  -3,5245
2024-09-14 11:16:37,329023	 1726280197329,023	  -3,5339
2024-09-14 11:16:37,330024	 1726280197330,024	  -3,5432
2024-09-14 11:16:37,331024	 1726280197331,024	  -3,5432
2024-09-14 11:16:37,332024	 1726280197332,024	  -3,5432
2024-09-14 11:16:37,333024	 1726280197333,024	  -3,5432
2024-09-14 11:16:37,334025	 1726280197334,025	  -3,5432
2024-09-14 11:16:37,335025	 1726280197335,025	  -3,5370
2024-09-14 11:16:37,336025	 1726280197336,025	  -3,5245
2024-09-14 11:16:37,337025	 1726280197337,025	  -3,5121
2024-09-14 11:16:37,338026	 1726280197338,026	  -3,4934
2024-09-14 11:16:37,339026	 1726280197339,026	  -3,4747
2024-09-14 11:16:37,340026	 1726280197340,026	  -3,4498
2024-09-14 11:16:37,341026	 1726280197341,026	  -3,4249
2024-09-14 11:16:37,342027	 1726280197342,027	  -3,3907
2024-09-14 11:16:37,343027	 1726280197343,027	  -3,3626
2024-09-14 11:16:37,344027	 1726280197344,027	  -3,3284
2024-09-14 11:16:37,345027	 1726280197345,027	  -3,3004
2024-09-14 11:16:37,346028	 1726280197346,028	  -3,2661
2024-09-14 11:16:37,347028	 1726280197347,028	  -3,2288
2024-09-14 11:16:37,348028	 1726280197348,028	  -3,1883
2024-09-14 11:16:37,349028	 1726280197349,028	  -3,1478
2024-09-14 11:16:37,350028	 1726280197350,029	  -3,1011
2024-09-14 11:16:37,351029	 1726280197351,029	  -3,0482
2024-09-14 11:16:37,352029	 1726280197352,029	  -2,9828
2024-09-14 11:16:37,353029	 1726280197353,029	  -2,9112
2024-09-14 11:16:37,354030	 1726280197354,030	  -2,8302
