# sensorTOOL V1.12.0.1370
# SensorTypeName:optoNCDT ILD1420; SerialNumber:18040260; RecordingDate:2024-08-29_04-36-10.860; SA_AnalogScaleMode:0; SA_ApplicationLanguage:EN; SA_ArticleNumber:4120216; SA_Automatic:1; SA_AveragingType:3; SA_BootVersion:001.006; SA_CableHead:Wire; SA_ChartType:0; SA_CurrentName:new; SA_DataOutInterface:1; SA_DataRange:50; SA_DataSource:0; SA_DefaultUser:1; SA_DisplayUnit:0; SA_Echo:0; SA_ErrorHysteresis:2; SA_ErrorLevelOut1:0; SA_ErrorOutHoldTime:50; SA_ErrorOutput1:1; SA_HardwareRevision:01; SA_HoldLastValid:-1; SA_InitialChartType:2; SA_KeyFunction:2; SA_Keylock:2; SA_KeylockState:1; SA_KeylockTime:5; SA_LaserPower:0; SA_Master:1; SA_MasterValue:0; SA_Measrate:1; SA_MeasurePeak:0; SA_MedianCount:9; SA_MovingCount:2; SA_MultiFunctionInputLevel:0; SA_MultiFunctionInputMode:0; SA_Option:000; SA_PresetMode:3; SA_PresetNames:Standard; SA_ROIEnd:511; SA_ROIStart:0; SA_Range:200; SA_RecursiveCount:2; SA_ResampleAnalog:0; SA_ResampleRS422:0; SA_Resampling:1; SA_Sensor:ILD1420; SA_SensorBaudrate:921600; SA_SerialNumber:18040260; SA_SettingNames:new; SA_Softwareversion:001.040; SA_TimeRange:3; SA_TriggerCount:1; SA_TriggerMode:0; SA_TriggerMoment:0; SA_UpperLimit:0; SA_UserLevel:1; SA_ViewRange:1
# SignalName           ; DataRate             ; RangeMin             ; RangeMax             
# Distance1            ; 1000 Hz              ; -102 mm              ; 713.9750916 mm       
# VideoResolution:65536; VideoSignalCount:0
# 1_Averaging:Disabled; 2_Triggering:Disabled; 3_Subsampling:Disabled; 4_Mastering:Disabled
# Data acquisition time; Epoch time (ms); Distance1 (mm)
2024-08-29 04:36:11.034650; 1724873771034.650;   2.9610
2024-08-29 04:36:11.035650; 1724873771035.650;   2.9361
2024-08-29 04:36:11.036651; 1724873771036.651;   2.9081
2024-08-29 04:36:11.037651; 1724873771037.651;   2.8800
2024-08-29 04:36:11.038651; 1724873771038.651;   2.8520
2024-08-29 04:36:11.039651; 1724873771039.651;   2.8271
2024-08-29 04:36:11.040652; 1724873771040.652;   2.7991
2024-08-29 04:36:11.041652; 1724873771041.652;   2.7742
2024-08-29 04:36:11.042652; 1724873771042.652;   2.7430
2024-08-29 04:36:11.043652; 1724873771043.652;   2.7088
2024-08-29 04:36:11.044652; 1724873771044.652;   2.6777
2024-08-29 04:36:11.045652; 1724873771045.652;   2.6465
2024-08-29 04:36:11.046652; 1724873771046.652;   2.6123
2024-08-29 04:36:11.047652; 1724873771047.652;   2.5811
2024-08-29 04:36:11.048652; 1724873771048.652;   2.5469
2024-08-29 04:36:11.049652; 1724873771049.652;   2.5095
2024-08-29 04:36:11.050652; 1724873771050.652;   2.4722
2024-08-29 04:36:11.051652; 1724873771051.652;   2.4379
2024-08-29 04:36:11.052652; 1724873771052.652;   2.4037
2024-08-29 04:36:11.053653; 1724873771053.653;   2.3663
2024-08-29 04:36:11.054653; 1724873771054.653;   2.3321
2024-08-29 04:36:11.055653; 1724873771055.653;   2.3040
2024-08-29 04:36:11.056653; 1724873771056.653;   2.2698
2024-08-29 04:36:11.057654; 1724873771057.654;   2.2386
2024-08-29 04:36:11.058654; 1724873771058.654;   2.2075
2024-08-29 04:36:11.059654; 1724873771059.654;   2.1733
2024-08-29 04:36:11.060654; 1724873771060.654;   2.1421
2024-08-29 04:36:11.061655; 1724873771061.655;   2.1079
2024-08-29 04:36:11.062655; 1724873771062.655;   2.0767
2024-08-29 04:36:11.063655; 1724873771063.655;   2.0425
