# sensorTOOL V1.12.0.1370
# SensorTypeName:optoNCDT ILD1420	 SerialNumber:18040260	 RecordingDate:2024-09-14_11-58-40.748	 SA_AnalogScaleMode:0	 SA_ApplicationLanguage:EN	 SA_ArticleNumber:4120216	 SA_Automatic:1	 SA_AveragingType:3	 SA_BootVersion:001.006	 SA_CableHead:Wire	 SA_ChartType:0	 SA_CurrentName:new	 SA_DataOutInterface:1	 SA_DataRange:50	 SA_DataSource:0	 SA_DefaultUser:1	 SA_DisplayUnit:0	 SA_Echo:0	 SA_ErrorHysteresis:2	 SA_ErrorLevelOut1:0	 SA_ErrorOutHoldTime:50	 SA_ErrorOutput1:1	 SA_HardwareRevision:01	 SA_HoldLastValid:-1	 SA_InitialChartType:2	 SA_KeyFunction:2	 SA_Keylock:2	 SA_KeylockState:1	 SA_KeylockTime:5	 SA_LaserPower:0	 SA_Master:1	 SA_MasterValue:0	 SA_Measrate:1	 SA_MeasurePeak:0	 SA_MedianCount:9	 SA_MovingCount:2	 SA_MultiFunctionInputLevel:0	 SA_MultiFunctionInputMode:0	 SA_Option:000	 SA_PresetMode:3	 SA_PresetNames:Standard	 SA_ROIEnd:511	 SA_ROIStart:0	 SA_Range:200	 SA_RecursiveCount:2	 SA_ResampleAnalog:0	 SA_ResampleRS422:0	 SA_Resampling:1	 SA_Sensor:ILD1420	 SA_SensorBaudrate:921600	 SA_SerialNumber:18040260	 SA_SettingNames:new	 SA_Softwareversion:001.040	 SA_TimeRange:3	 SA_TriggerCount:1	 SA_TriggerMode:0	 SA_TriggerMoment:0	 SA_UpperLimit:0	 SA_UserLevel:1	 SA_ViewRange:1
# SignalName           	 DataRate             	 RangeMin             	 RangeMax             
# Distance1            	 1000 Hz              	 -102 mm              	 713,9750916 mm       
# VideoResolution:65536	 VideoSignalCount:0
# 1_Averaging:Disabled	 2_Triggering:Disabled	 3_Subsampling:Disabled	 4_Mastering:Disabled
# Data acquisition time	 Epoch time (ms)	 Distance1 (mm)
2024-09-14 11:58:41,710699	 1726282721710,699	  -2,8489
2024-09-14 11:58:41,711699	 1726282721711,698	  -2,9174
2024-09-14 11:58:41,712698	 1726282721712,698	  -2,9828
2024-09-14 11:58:41,713698	 1726282721713,698	  -3,0419
2024-09-14 11:58:41,714698	 1726282721714,698	  -3,0949
2024-09-14 11:58:41,715698	 1726282721715,698	  -3,1416
2024-09-14 11:58:41,716697	 1726282721716,697	  -3,1821
2024-09-14 11:58:41,717697	 1726282721717,697	  -3,2194
2024-09-14 11:58:41,718697	 1726282721718,697	  -3,2568
2024-09-14 11:58:41,719696	 1726282721719,697	  -3,2941
2024-09-14 11:58:41,720696	 1726282721720,696	  -3,3253
2024-09-14 11:58:41,721696	 1726282721721,696	  -3,3595
2024-09-14 11:58:41,722696	 1726282721722,696	  -3,3969
2024-09-14 11:58:41,723695	 1726282721723,696	  -3,4342
2024-09-14 11:58:41,724695	 1726282721724,695	  -3,4685
2024-09-14 11:58:41,725695	 1726282721725,695	  -3,5027
2024-09-14 11:58:41,726695	 1726282721726,695	  -3,5339
2024-09-14 11:58:41,727694	 1726282721727,695	  -3,5681
2024-09-14 11:58:41,728694	 1726282721728,694	  -3,6024
2024-09-14 11:58:41,729694	 1726282721729,694	  -3,6335
2024-09-14 11:58:41,730694	 1726282721730,694	  -3,6615
2024-09-14 11:58:41,731693	 1726282721731,694	  -3,6896
2024-09-14 11:58:41,732693	 1726282721732,693	  -3,7114
2024-09-14 11:58:41,733693	 1726282721733,693	  -3,7363
2024-09-14 11:58:41,734693	 1726282721734,693	  -3,7581
2024-09-14 11:58:41,735693	 1726282721735,693	  -3,7799
2024-09-14 11:58:41,736692	 1726282721736,692	  -3,7985
2024-09-14 11:58:41,737692	 1726282721737,692	  -3,8141
2024-09-14 11:58:41,738692	 1726282721738,692	  -3,8297
2024-09-14 11:58:41,739692	 1726282721739,692	  -3,8421
2024-09-14 11:58:41,740691	 1726282721740,691	  -3,8546
2024-09-14 11:58:41,741691	 1726282721741,691	  -3,8670
2024-09-14 11:58:41,742691	 1726282721742,691	  -3,8764
2024-09-14 11:58:41,743691	 1726282721743,691	  -3,8826
2024-09-14 11:58:41,744690	 1726282721744,690	  -3,8919
2024-09-14 11:58:41,745690	 1726282721745,690	  -3,9013
2024-09-14 11:58:41,746690	 1726282721746,690	  -3,9044
2024-09-14 11:58:41,747690	 1726282721747,690	  -3,9075
2024-09-14 11:58:41,748689	 1726282721748,689	  -3,9106
2024-09-14 11:58:41,749689	 1726282721749,689	  -3,9106
2024-09-14 11:58:41,750689	 1726282721750,689	  -3,9106
2024-09-14 11:58:41,751689	 1726282721751,689	  -3,9106
2024-09-14 11:58:41,752688	 1726282721752,688	  -3,9106
2024-09-14 11:58:41,753688	 1726282721753,688	  -3,9106
2024-09-14 11:58:41,754688	 1726282721754,688	  -3,9044
2024-09-14 11:58:41,755688	 1726282721755,688	  -3,8982
2024-09-14 11:58:41,756687	 1726282721756,688	  -3,8919
2024-09-14 11:58:41,757687	 1726282721757,687	  -3,8826
2024-09-14 11:58:41,758687	 1726282721758,687	  -3,8733
2024-09-14 11:58:41,759687	 1726282721759,687	  -3,8639
2024-09-14 11:58:41,760687	 1726282721760,687	  -3,8515
2024-09-14 11:58:41,761686	 1726282721761,686	  -3,8390
2024-09-14 11:58:41,762686	 1726282721762,686	  -3,8266
2024-09-14 11:58:41,763686	 1726282721763,686	  -3,8110
2024-09-14 11:58:41,764686	 1726282721764,686	  -3,7923
2024-09-14 11:58:41,765685	 1726282721765,685	  -3,7705
2024-09-14 11:58:41,766685	 1726282721766,685	  -3,7487
2024-09-14 11:58:41,767685	 1726282721767,685	  -3,7269
2024-09-14 11:58:41,768685	 1726282721768,685	  -3,7020
2024-09-14 11:58:41,769684	 1726282721769,684	  -3,6802
2024-09-14 11:58:41,770684	 1726282721770,684	  -3,6491
2024-09-14 11:58:41,771684	 1726282721771,684	  -3,6179
2024-09-14 11:58:41,772684	 1726282721772,684	  -3,5868
2024-09-14 11:58:41,773683	 1726282721773,683	  -3,5526
2024-09-14 11:58:41,774683	 1726282721774,683	  -3,5214
2024-09-14 11:58:41,775683	 1726282721775,683	  -3,4872
2024-09-14 11:58:41,776683	 1726282721776,683	  -3,4560
2024-09-14 11:58:41,777682	 1726282721777,682	  -3,4187
2024-09-14 11:58:41,778682	 1726282721778,682	  -3,3813
2024-09-14 11:58:41,779682	 1726282721779,682	  -3,3471
2024-09-14 11:58:41,780682	 1726282721780,682	  -3,3128
2024-09-14 11:58:41,781681	 1726282721781,681	  -3,2786
2024-09-14 11:58:41,782681	 1726282721782,681	  -3,2443
2024-09-14 11:58:41,783681	 1726282721783,681	  -3,2038
2024-09-14 11:58:41,784680	 1726282721784,680	  -3,1634
2024-09-14 11:58:41,785680	 1726282721785,680	  -3,1229
2024-09-14 11:58:41,786679	 1726282721786,679	  -3,0762
2024-09-14 11:58:41,787679	 1726282721787,679	  -3,0201
2024-09-14 11:58:41,788678	 1726282721788,678	  -2,9579
2024-09-14 11:58:41,789678	 1726282721789,678	  -2,8925
2024-09-14 11:58:41,790678	 1726282721790,677	  -2,8240
2024-09-14 11:58:41,791677	 1726282721791,677	  -2,7524
2024-09-14 11:58:41,792676	 1726282721792,677	  -2,6808
2024-09-14 11:58:41,793676	 1726282721793,676	  -2,6154
2024-09-14 11:58:41,794676	 1726282721794,676	  -2,5562
2024-09-14 11:58:41,795675	 1726282721795,675	  -2,4971
2024-09-14 11:58:41,796674	 1726282721796,675	  -2,4379
2024-09-14 11:58:41,797674	 1726282721797,674	  -2,3756
2024-09-14 11:58:41,798674	 1726282721798,674	  -2,3134
2024-09-14 11:58:41,799673	 1726282721799,673	  -2,2418
2024-09-14 11:58:41,800673	 1726282721800,673	  -2,1608
2024-09-14 11:58:41,801672	 1726282721801,672	  -2,0799
2024-09-14 11:58:41,802672	 1726282721802,672	  -1,9989
2024-09-14 11:58:41,803671	 1726282721803,671	  -1,9211
2024-09-14 11:58:41,804671	 1726282721804,671	  -1,8432
2024-09-14 11:58:41,805670	 1726282721805,670	  -1,7747
2024-09-14 11:58:41,806670	 1726282721806,670	  -1,7000
2024-09-14 11:58:41,807669	 1726282721807,669	  -1,6284
2024-09-14 11:58:41,808669	 1726282721808,669	  -1,5630
2024-09-14 11:58:41,809668	 1726282721809,668	  -1,4914
2024-09-14 11:58:41,810668	 1726282721810,668	  -1,4229
2024-09-14 11:58:41,811668	 1726282721811,668	  -1,3513
2024-09-14 11:58:41,812668	 1726282721812,667	  -1,2766
2024-09-14 11:58:41,813667	 1726282721813,667	  -1,2018
2024-09-14 11:58:41,814667	 1726282721814,667	  -1,1271
2024-09-14 11:58:41,815667	 1726282721815,667	  -1,0430
2024-09-14 11:58:41,816667	 1726282721816,667	  -0,9621
2024-09-14 11:58:41,817666	 1726282721817,666	  -0,8749
