# sensorTOOL V1.12.0.1370
# SensorTypeName:optoNCDT ILD1420	 SerialNumber:18040260	 RecordingDate:2024-09-14_12-14-29.277	 SA_AnalogScaleMode:0	 SA_ApplicationLanguage:EN	 SA_ArticleNumber:4120216	 SA_Automatic:1	 SA_AveragingType:3	 SA_BootVersion:001.006	 SA_CableHead:Wire	 SA_ChartType:0	 SA_CurrentName:new	 SA_DataOutInterface:1	 SA_DataRange:50	 SA_DataSource:0	 SA_DefaultUser:1	 SA_DisplayUnit:0	 SA_Echo:0	 SA_ErrorHysteresis:2	 SA_ErrorLevelOut1:0	 SA_ErrorOutHoldTime:50	 SA_ErrorOutput1:1	 SA_HardwareRevision:01	 SA_HoldLastValid:-1	 SA_InitialChartType:2	 SA_KeyFunction:2	 SA_Keylock:2	 SA_KeylockState:1	 SA_KeylockTime:5	 SA_LaserPower:0	 SA_Master:1	 SA_MasterValue:0	 SA_Measrate:1	 SA_MeasurePeak:0	 SA_MedianCount:9	 SA_MovingCount:2	 SA_MultiFunctionInputLevel:0	 SA_MultiFunctionInputMode:0	 SA_Option:000	 SA_PresetMode:3	 SA_PresetNames:Standard	 SA_ROIEnd:511	 SA_ROIStart:0	 SA_Range:200	 SA_RecursiveCount:2	 SA_ResampleAnalog:0	 SA_ResampleRS422:0	 SA_Resampling:1	 SA_Sensor:ILD1420	 SA_SensorBaudrate:921600	 SA_SerialNumber:18040260	 SA_SettingNames:new	 SA_Softwareversion:001.040	 SA_TimeRange:3	 SA_TriggerCount:1	 SA_TriggerMode:0	 SA_TriggerMoment:0	 SA_UpperLimit:0	 SA_UserLevel:1	 SA_ViewRange:1
# SignalName           	 DataRate             	 RangeMin             	 RangeMax             
# Distance1            	 1000 Hz              	 -102 mm              	 713,9750916 mm       
# VideoResolution:65536	 VideoSignalCount:0
# 1_Averaging:Disabled	 2_Triggering:Disabled	 3_Subsampling:Disabled	 4_Mastering:Disabled
# Data acquisition time	 Epoch time (ms)	 Distance1 (mm)
2024-09-14 12:14:30,139009	 1726283670139,009	   0,1245
2024-09-14 12:14:30,140009	 1726283670140,009	   0,1650
2024-09-14 12:14:30,141009	 1726283670141,009	   0,2148
2024-09-14 12:14:30,142009	 1726283670142,009	   0,2678
2024-09-14 12:14:30,143009	 1726283670143,009	   0,3207
2024-09-14 12:14:30,144009	 1726283670144,009	   0,3767
2024-09-14 12:14:30,145009	 1726283670145,009	   0,4234
2024-09-14 12:14:30,146009	 1726283670146,009	   0,4701
2024-09-14 12:14:30,147009	 1726283670147,009	   0,5106
2024-09-14 12:14:30,148009	 1726283670148,009	   0,5480
2024-09-14 12:14:30,149009	 1726283670149,009	   0,5791
2024-09-14 12:14:30,150009	 1726283670150,009	   0,6103
2024-09-14 12:14:30,151009	 1726283670151,009	   0,6414
2024-09-14 12:14:30,152009	 1726283670152,009	   0,6756
2024-09-14 12:14:30,153009	 1726283670153,009	   0,7099
2024-09-14 12:14:30,154009	 1726283670154,009	   0,7441
2024-09-14 12:14:30,155009	 1726283670155,009	   0,7784
2024-09-14 12:14:30,156009	 1726283670156,009	   0,8158
2024-09-14 12:14:30,157009	 1726283670157,009	   0,8500
2024-09-14 12:14:30,158009	 1726283670158,009	   0,8842
2024-09-14 12:14:30,159009	 1726283670159,009	   0,9185
2024-09-14 12:14:30,160009	 1726283670160,009	   0,9465
2024-09-14 12:14:30,161009	 1726283670161,009	   0,9745
2024-09-14 12:14:30,162009	 1726283670162,009	   0,9963
2024-09-14 12:14:30,163009	 1726283670163,009	   1,0150
2024-09-14 12:14:30,164009	 1726283670164,009	   1,0337
2024-09-14 12:14:30,165009	 1726283670165,009	   1,0462
2024-09-14 12:14:30,166009	 1726283670166,009	   1,0555
2024-09-14 12:14:30,167009	 1726283670167,009	   1,0648
2024-09-14 12:14:30,168009	 1726283670168,009	   1,0679
2024-09-14 12:14:30,169009	 1726283670169,009	   1,0679
2024-09-14 12:14:30,170009	 1726283670170,009	   1,0679
