# sensorTOOL V1.12.0.1370
# SensorTypeName:optoNCDT ILD1420; SerialNumber:18040260; RecordingDate:2024-09-14_05-05-08.710; SA_AnalogScaleMode:0; SA_ApplicationLanguage:EN; SA_ArticleNumber:4120216; SA_Automatic:1; SA_AveragingType:3; SA_BootVersion:001.006; SA_CableHead:Wire; SA_ChartType:0; SA_CmdStr:GETOUTINFO_RS422\\r\\n; SA_CurrentName:new; SA_DataOutInterface:1; SA_DataRange:50; SA_DataSource:0; SA_DefaultUser:1; SA_DisplayUnit:0; SA_Echo:0; SA_ErrorHysteresis:2; SA_ErrorLevelOut1:0; SA_ErrorOutHoldTime:50; SA_ErrorOutput1:1; SA_HardwareRevision:01; SA_HoldLastValid:-1; SA_InitialChartType:2; SA_KeyFunction:2; SA_Keylock:2; SA_KeylockState:0; SA_KeylockTime:5; SA_LaserPower:0; SA_Master:1; SA_MasterValue:0; SA_Measrate:1; SA_MeasurePeak:0; SA_MedianCount:9; SA_MovingCount:2; SA_MultiFunctionInputLevel:0; SA_MultiFunctionInputMode:0; SA_Option:000; SA_PresetMode:3; SA_PresetNames:Standard; SA_ROIEnd:511; SA_ROIStart:0; SA_Range:200; SA_RecursiveCount:2; SA_ResampleAnalog:0; SA_ResampleRS422:0; SA_Resampling:1; SA_Sensor:ILD1420; SA_SensorBaudrate:921600; SA_SerialNumber:18040260; SA_SettingNames:new; SA_Softwareversion:001.040; SA_TimeRange:3; SA_TriggerCount:1; SA_TriggerMode:0; SA_TriggerMoment:0; SA_UpperLimit:0; SA_UserLevel:1; SA_ViewRange:1
# SignalName           ; DataRate             ; RangeMin             ; RangeMax             
# Distance1            ; 1000 Hz              ; -102 mm              ; 713,9750916 mm       
# VideoResolution:65536; VideoSignalCount:0
# 1_Averaging:Disabled; 2_Triggering:Disabled; 3_Subsampling:Disabled; 4_Mastering:Disabled
# Data acquisition time; Epoch time (ms); Distance1 (mm)
2024-09-14 05:05:08,848496; 1726257908848,496;   0,7192
2024-09-14 05:05:08,849497; 1726257908849,497;   0,7846
2024-09-14 05:05:08,850497; 1726257908850,498;   0,8531
2024-09-14 05:05:08,851498; 1726257908851,498;   0,9216
2024-09-14 05:05:08,852499; 1726257908852,499;   0,9777
2024-09-14 05:05:08,853500; 1726257908853,500;   1,0337
2024-09-14 05:05:08,854501; 1726257908854,500;   1,0866
2024-09-14 05:05:08,855501; 1726257908855,501;   1,1364
2024-09-14 05:05:08,856502; 1726257908856,502;   1,1800
2024-09-14 05:05:08,857503; 1726257908857,503;   1,2267
2024-09-14 05:05:08,858503; 1726257908858,503;   1,2703
2024-09-14 05:05:08,859504; 1726257908859,504;   1,3108
2024-09-14 05:05:08,860505; 1726257908860,505;   1,3513
2024-09-14 05:05:08,861505; 1726257908861,506;   1,3886
2024-09-14 05:05:08,862506; 1726257908862,506;   1,4229
2024-09-14 05:05:08,863507; 1726257908863,507;   1,4603
2024-09-14 05:05:08,864508; 1726257908864,508;   1,4852
2024-09-14 05:05:08,865509; 1726257908865,509;   1,5132
2024-09-14 05:05:08,866509; 1726257908866,509;   1,5350
2024-09-14 05:05:08,867510; 1726257908867,510;   1,5568
2024-09-14 05:05:08,868511; 1726257908868,511;   1,5723
2024-09-14 05:05:08,869512; 1726257908869,511;   1,5879
2024-09-14 05:05:08,870512; 1726257908870,512;   1,5973
2024-09-14 05:05:08,871513; 1726257908871,513;   1,5973
2024-09-14 05:05:08,872514; 1726257908872,514;   1,5973
2024-09-14 05:05:08,873514; 1726257908873,514;   1,5973
2024-09-14 05:05:08,874515; 1726257908874,515;   1,5973
2024-09-14 05:05:08,875516; 1726257908875,516;   1,5879
2024-09-14 05:05:08,876517; 1726257908876,517;   1,5755
2024-09-14 05:05:08,877517; 1726257908877,517;   1,5599
2024-09-14 05:05:08,878518; 1726257908878,518;   1,5412
2024-09-14 05:05:08,879519; 1726257908879,519;   1,5194
2024-09-14 05:05:08,880520; 1726257908880,520;   1,4945
2024-09-14 05:05:08,881520; 1726257908881,520;   1,4603
2024-09-14 05:05:08,882521; 1726257908882,521;   1,4322
2024-09-14 05:05:08,883522; 1726257908883,522;   1,3980
2024-09-14 05:05:08,884522; 1726257908884,522;   1,3575
2024-09-14 05:05:08,885523; 1726257908885,523;   1,3201
2024-09-14 05:05:08,886524; 1726257908886,524;   1,2766
2024-09-14 05:05:08,887525; 1726257908887,525;   1,2361
2024-09-14 05:05:08,888525; 1726257908888,525;   1,1925
2024-09-14 05:05:08,889526; 1726257908889,526;   1,1458
2024-09-14 05:05:08,890527; 1726257908890,527;   1,0991
2024-09-14 05:05:08,891528; 1726257908891,528;   1,0493
2024-09-14 05:05:08,892528; 1726257908892,528;   0,9963
2024-09-14 05:05:08,893529; 1726257908893,529;   0,9372
2024-09-14 05:05:08,894530; 1726257908894,530;   0,8718
2024-09-14 05:05:08,895530; 1726257908895,531;   0,8064
2024-09-14 05:05:08,896531; 1726257908896,531;   0,7410
2024-09-14 05:05:08,897532; 1726257908897,532;   0,6881
2024-09-14 05:05:08,898533; 1726257908898,533;   0,6383
2024-09-14 05:05:08,899533; 1726257908899,533;   0,5853
2024-09-14 05:05:08,900534; 1726257908900,534;   0,5324
2024-09-14 05:05:08,901535; 1726257908901,535;   0,4733
2024-09-14 05:05:08,902536; 1726257908902,536;   0,4141
2024-09-14 05:05:08,903536; 1726257908903,536;   0,3518
2024-09-14 05:05:08,904537; 1726257908904,537;   0,2896
2024-09-14 05:05:08,905538; 1726257908905,538;   0,2242
