Data_acquisition_time,Epoch_time_ms,Distance1_mm,,,
2024-09-14 06:45:56,196691,1726263956196,691,1,6564
2024-09-14 06:45:56,197692,1726263956197,692,1,6720
2024-09-14 06:45:56,198692,1726263956198,692,1,6907
2024-09-14 06:45:56,199692,1726263956199,692,1,7062
2024-09-14 06:45:56,200692,1726263956200,692,1,7187
2024-09-14 06:45:56,201693,1726263956201,693,1,7311
2024-09-14 06:45:56,202693,1726263956202,693,1,7467
2024-09-14 06:45:56,203693,1726263956203,693,1,7560
2024-09-14 06:45:56,204693,1726263956204,693,1,7685
2024-09-14 06:45:56,205694,1726263956205,694,1,7778
2024-09-14 06:45:56,206694,1726263956206,694,1,7903
2024-09-14 06:45:56,207694,1726263956207,694,1,8027
2024-09-14 06:45:56,208694,1726263956208,694,1,8121
2024-09-14 06:45:56,209695,1726263956209,695,1,8183
2024-09-14 06:45:56,210695,1726263956210,695,1,8277
2024-09-14 06:45:56,211695,1726263956211,695,1,8370
2024-09-14 06:45:56,212695,1726263956212,695,1,8432
2024-09-14 06:45:56,213696,1726263956213,696,1,8526
2024-09-14 06:45:56,214696,1726263956214,696,1,8557
2024-09-14 06:45:56,215696,1726263956215,696,1,8650
2024-09-14 06:45:56,216696,1726263956216,696,1,8712
2024-09-14 06:45:56,217696,1726263956217,697,1,8775
2024-09-14 06:45:56,218697,1726263956218,697,1,8837
2024-09-14 06:45:56,219697,1726263956219,697,1,8868
2024-09-14 06:45:56,220697,1726263956220,697,1,8868
2024-09-14 06:45:56,221698,1726263956221,698,1,8899
2024-09-14 06:45:56,222698,1726263956222,698,1,8930
2024-09-14 06:45:56,223698,1726263956223,698,1,8962
2024-09-14 06:45:56,224698,1726263956224,698,1,8962
2024-09-14 06:45:56,225698,1726263956225,698,1,8962
2024-09-14 06:45:56,226699,1726263956226,699,1,8962
2024-09-14 06:45:56,227699,1726263956227,699,1,8962
2024-09-14 06:45:56,228699,1726263956228,699,1,8930
2024-09-14 06:45:56,229699,1726263956229,699,1,8930
2024-09-14 06:45:56,230700,1726263956230,700,1,8930
2024-09-14 06:45:56,231700,1726263956231,700,1,8899
2024-09-14 06:45:56,232700,1726263956232,700,1,8868
2024-09-14 06:45:56,233700,1726263956233,700,1,8806
2024-09-14 06:45:56,234701,1726263956234,701,1,8775
2024-09-14 06:45:56,235701,1726263956235,701,1,8712
2024-09-14 06:45:56,236701,1726263956236,701,1,8650
2024-09-14 06:45:56,237701,1726263956237,701,1,8619
2024-09-14 06:45:56,238702,1726263956238,702,1,8526
2024-09-14 06:45:56,239702,1726263956239,702,1,8495
2024-09-14 06:45:56,240702,1726263956240,702,1,8401
2024-09-14 06:45:56,241702,1726263956241,702,1,8339
2024-09-14 06:45:56,242703,1726263956242,703,1,8245
2024-09-14 06:45:56,243703,1726263956243,703,1,8152
2024-09-14 06:45:56,244703,1726263956244,703,1,8059
2024-09-14 06:45:56,245703,1726263956245,703,1,7934
2024-09-14 06:45:56,246704,1726263956246,704,1,7841
2024-09-14 06:45:56,247704,1726263956247,704,1,7747
2024-09-14 06:45:56,248704,1726263956248,704,1,7623
2024-09-14 06:45:56,249704,1726263956249,704,1,7498
2024-09-14 06:45:56,250705,1726263956250,705,1,7374
2024-09-14 06:45:56,251705,1726263956251,705,1,7249
2024-09-14 06:45:56,252705,1726263956252,705,1,7125
2024-09-14 06:45:56,253705,1726263956253,705,1,6969
2024-09-14 06:45:56,254706,1726263956254,706,1,6844
2024-09-14 06:45:56,255706,1726263956255,706,1,6658
2024-09-14 06:45:56,256706,1726263956256,706,1,6502
2024-09-14 06:45:56,257706,1726263956257,706,1,6346
2024-09-14 06:45:56,258707,1726263956258,707,1,6128
2024-09-14 06:45:56,259707,1726263956259,707,1,5973
2024-09-14 06:45:56,260707,1726263956260,707,1,5755
2024-09-14 06:45:56,261707,1726263956261,707,1,5568
2024-09-14 06:45:56,262707,1726263956262,708,1,5350
2024-09-14 06:45:56,263708,1726263956263,708,1,5163
2024-09-14 06:45:56,264708,1726263956264,708,1,4945
2024-09-14 06:45:56,265708,1726263956265,708,1,4727
2024-09-14 06:45:56,266709,1726263956266,708,1,4540
2024-09-14 06:45:56,267709,1726263956267,709,1,4322
2024-09-14 06:45:56,268709,1726263956268,709,1,4136
2024-09-14 06:45:56,269709,1726263956269,709,1,3918
2024-09-14 06:45:56,270709,1726263956270,709,1,3700
2024-09-14 06:45:56,271710,1726263956271,710,1,3513
2024-09-14 06:45:56,272710,1726263956272,710,1,3295
2024-09-14 06:45:56,273710,1726263956273,710,1,3077
2024-09-14 06:45:56,274710,1726263956274,710,1,2890
2024-09-14 06:45:56,275711,1726263956275,711,1,2672
2024-09-14 06:45:56,276711,1726263956276,711,1,2454
2024-09-14 06:45:56,277711,1726263956277,711,1,2236
2024-09-14 06:45:56,278711,1726263956278,711,1,2018
2024-09-14 06:45:56,279712,1726263956279,712,1,1769
2024-09-14 06:45:56,280712,1726263956280,712,1,1551
2024-09-14 06:45:56,281712,1726263956281,712,1,1302
2024-09-14 06:45:56,282712,1726263956282,712,1,1022
2024-09-14 06:45:56,283713,1726263956283,713,1,742
2024-09-14 06:45:56,284713,1726263956284,713,1,462
2024-09-14 06:45:56,285713,1726263956285,713,1,150
2024-09-14 06:45:56,286713,1726263956286,713,0,9870
2024-09-14 06:45:56,287714,1726263956287,714,0,9590
2024-09-14 06:45:56,288714,1726263956288,714,0,9278
2024-09-14 06:45:56,289714,1726263956289,714,0,8967
2024-09-14 06:45:56,290714,1726263956290,714,0,8656
2024-09-14 06:45:56,291715,1726263956291,715,0,8375
2024-09-14 06:45:56,292715,1726263956292,715,0,8095
