# sensorTOOL V1.12.0.1370
# SensorTypeName:optoNCDT ILD1420; SerialNumber:18040260; RecordingDate:2024-08-29_04-43-45.823; SA_AnalogScaleMode:0; SA_ApplicationLanguage:EN; SA_ArticleNumber:4120216; SA_Automatic:1; SA_AveragingType:3; SA_BootVersion:001.006; SA_CableHead:Wire; SA_ChartType:0; SA_CurrentName:new; SA_DataOutInterface:1; SA_DataRange:50; SA_DataSource:0; SA_DefaultUser:1; SA_DisplayUnit:0; SA_Echo:0; SA_ErrorHysteresis:2; SA_ErrorLevelOut1:0; SA_ErrorOutHoldTime:50; SA_ErrorOutput1:1; SA_HardwareRevision:01; SA_HoldLastValid:-1; SA_InitialChartType:2; SA_KeyFunction:2; SA_Keylock:2; SA_KeylockState:1; SA_KeylockTime:5; SA_LaserPower:0; SA_Master:1; SA_MasterValue:0; SA_Measrate:1; SA_MeasurePeak:0; SA_MedianCount:9; SA_MovingCount:2; SA_MultiFunctionInputLevel:0; SA_MultiFunctionInputMode:0; SA_Option:000; SA_PresetMode:3; SA_PresetNames:Standard; SA_ROIEnd:511; SA_ROIStart:0; SA_Range:200; SA_RecursiveCount:2; SA_ResampleAnalog:0; SA_ResampleRS422:0; SA_Resampling:1; SA_Sensor:ILD1420; SA_SensorBaudrate:921600; SA_SerialNumber:18040260; SA_SettingNames:new; SA_Softwareversion:001.040; SA_TimeRange:3; SA_TriggerCount:1; SA_TriggerMode:0; SA_TriggerMoment:0; SA_UpperLimit:0; SA_UserLevel:1; SA_ViewRange:1
# SignalName           ; DataRate             ; RangeMin             ; RangeMax             
# Distance1            ; 1000 Hz              ; -102 mm              ; 713.9750916 mm       
# VideoResolution:65536; VideoSignalCount:0
# 1_Averaging:Disabled; 2_Triggering:Disabled; 3_Subsampling:Disabled; 4_Mastering:Disabled
# Data acquisition time; Epoch time (ms); Distance1 (mm)
2024-08-29 04:43:45.959889; 1724874225959.889;   1.1209
2024-08-29 04:43:45.960889; 1724874225960.889;   1.0991
2024-08-29 04:43:45.961889; 1724874225961.889;   1.0773
2024-08-29 04:43:45.962889; 1724874225962.889;   1.0586
2024-08-29 04:43:45.963889; 1724874225963.889;   1.0368
2024-08-29 04:43:45.964889; 1724874225964.889;   1.0150
2024-08-29 04:43:45.965889; 1724874225965.889;   0.9932
2024-08-29 04:43:45.966889; 1724874225966.889;   0.9683
2024-08-29 04:43:45.967889; 1724874225967.889;   0.9434
2024-08-29 04:43:45.968889; 1724874225968.889;   0.9185
2024-08-29 04:43:45.969889; 1724874225969.889;   0.8905
2024-08-29 04:43:45.970889; 1724874225970.889;   0.8593
2024-08-29 04:43:45.971889; 1724874225971.889;   0.8313
2024-08-29 04:43:45.972889; 1724874225972.889;   0.8002
2024-08-29 04:43:45.973889; 1724874225973.889;   0.7659
2024-08-29 04:43:45.974889; 1724874225974.889;   0.7286
2024-08-29 04:43:45.975889; 1724874225975.889;   0.6943
2024-08-29 04:43:45.976889; 1724874225976.889;   0.6538
2024-08-29 04:43:45.977889; 1724874225977.889;   0.6196
2024-08-29 04:43:45.978889; 1724874225978.889;   0.5822
2024-08-29 04:43:45.979889; 1724874225979.889;   0.5480
2024-08-29 04:43:45.980889; 1724874225980.889;   0.5137
2024-08-29 04:43:45.981889; 1724874225981.889;   0.4795
2024-08-29 04:43:45.982889; 1724874225982.889;   0.4421
2024-08-29 04:43:45.983889; 1724874225983.889;   0.4048
2024-08-29 04:43:45.984889; 1724874225984.889;   0.3705
2024-08-29 04:43:45.985889; 1724874225985.889;   0.3332
2024-08-29 04:43:45.986889; 1724874225986.889;   0.2989
2024-08-29 04:43:45.987889; 1724874225987.889;   0.2647
2024-08-29 04:43:45.988889; 1724874225988.889;   0.2304
