# sensorTOOL V1.12.0.1370
# SensorTypeName:optoNCDT ILD1420; SerialNumber:18040260; RecordingDate:2024-08-29_04-53-01.883; SA_AnalogScaleMode:0; SA_ApplicationLanguage:EN; SA_ArticleNumber:4120216; SA_Automatic:1; SA_AveragingType:3; SA_BootVersion:001.006; SA_CableHead:Wire; SA_ChartType:0; SA_CurrentName:new; SA_DataOutInterface:1; SA_DataRange:50; SA_DataSource:0; SA_DefaultUser:1; SA_DisplayUnit:0; SA_Echo:0; SA_ErrorHysteresis:2; SA_ErrorLevelOut1:0; SA_ErrorOutHoldTime:50; SA_ErrorOutput1:1; SA_HardwareRevision:01; SA_HoldLastValid:-1; SA_InitialChartType:2; SA_KeyFunction:2; SA_Keylock:2; SA_KeylockState:1; SA_KeylockTime:5; SA_LaserPower:0; SA_Master:1; SA_MasterValue:0; SA_Measrate:1; SA_MeasurePeak:0; SA_MedianCount:9; SA_MovingCount:2; SA_MultiFunctionInputLevel:0; SA_MultiFunctionInputMode:0; SA_Option:000; SA_PresetMode:3; SA_PresetNames:Standard; SA_ROIEnd:511; SA_ROIStart:0; SA_Range:200; SA_RecursiveCount:2; SA_ResampleAnalog:0; SA_ResampleRS422:0; SA_Resampling:1; SA_Sensor:ILD1420; SA_SensorBaudrate:921600; SA_SerialNumber:18040260; SA_SettingNames:new; SA_Softwareversion:001.040; SA_TimeRange:3; SA_TriggerCount:1; SA_TriggerMode:0; SA_TriggerMoment:0; SA_UpperLimit:0; SA_UserLevel:1; SA_ViewRange:1
# SignalName           ; DataRate             ; RangeMin             ; RangeMax             
# Distance1            ; 1000 Hz              ; -102 mm              ; 713.9750916 mm       
# VideoResolution:65536; VideoSignalCount:0
# 1_Averaging:Disabled; 2_Triggering:Disabled; 3_Subsampling:Disabled; 4_Mastering:Disabled
# Data acquisition time; Epoch time (ms); Distance1 (mm)
2024-08-29 04:53:01.971202; 1724874781971.202;   0.2148
2024-08-29 04:53:01.972202; 1724874781972.202;   0.1993
2024-08-29 04:53:01.973202; 1724874781973.202;   0.1837
2024-08-29 04:53:01.974202; 1724874781974.202;   0.1681
2024-08-29 04:53:01.975202; 1724874781975.202;   0.1526
2024-08-29 04:53:01.976202; 1724874781976.202;   0.1370
2024-08-29 04:53:01.977202; 1724874781977.202;   0.1183
2024-08-29 04:53:01.978202; 1724874781978.202;   0.1027
2024-08-29 04:53:01.979202; 1724874781979.202;   0.0872
2024-08-29 04:53:01.980202; 1724874781980.202;   0.0716
2024-08-29 04:53:01.981202; 1724874781981.202;   0.0529
2024-08-29 04:53:01.982202; 1724874781982.202;   0.0374
2024-08-29 04:53:01.983202; 1724874781983.202;   0.0187
2024-08-29 04:53:01.984202; 1724874781984.202;   0.0000
2024-08-29 04:53:01.985202; 1724874781985.202;  -0.0156
2024-08-29 04:53:01.986202; 1724874781986.202;  -0.0311
2024-08-29 04:53:01.987202; 1724874781987.202;  -0.0467
2024-08-29 04:53:01.988202; 1724874781988.202;  -0.0623
2024-08-29 04:53:01.989202; 1724874781989.202;  -0.0778
2024-08-29 04:53:01.990202; 1724874781990.202;  -0.0872
2024-08-29 04:53:01.991202; 1724874781991.202;  -0.0996
2024-08-29 04:53:01.992202; 1724874781992.202;  -0.1121
2024-08-29 04:53:01.993202; 1724874781993.202;  -0.1245
2024-08-29 04:53:01.994202; 1724874781994.202;  -0.1339
2024-08-29 04:53:01.995202; 1724874781995.202;  -0.1401
2024-08-29 04:53:01.996202; 1724874781996.202;  -0.1495
2024-08-29 04:53:01.997202; 1724874781997.202;  -0.1557
2024-08-29 04:53:01.998202; 1724874781998.202;  -0.1619
2024-08-29 04:53:01.999202; 1724874781999.202;  -0.1681
2024-08-29 04:53:02.000202; 1724874782000.202;  -0.1712
2024-08-29 04:53:02.001202; 1724874782001.202;  -0.1744
2024-08-29 04:53:02.002202; 1724874782002.202;  -0.1744
2024-08-29 04:53:02.003202; 1724874782003.202;  -0.1744
2024-08-29 04:53:02.004202; 1724874782004.202;  -0.1744
2024-08-29 04:53:02.005202; 1724874782005.202;  -0.1744
2024-08-29 04:53:02.006202; 1724874782006.202;  -0.1712
2024-08-29 04:53:02.007202; 1724874782007.202;  -0.1681
2024-08-29 04:53:02.008202; 1724874782008.202;  -0.1619
2024-08-29 04:53:02.009202; 1724874782009.202;  -0.1557
2024-08-29 04:53:02.010202; 1724874782010.202;  -0.1495
2024-08-29 04:53:02.011202; 1724874782011.202;  -0.1370
2024-08-29 04:53:02.012202; 1724874782012.202;  -0.1308
2024-08-29 04:53:02.013202; 1724874782013.202;  -0.1214
2024-08-29 04:53:02.014202; 1724874782014.202;  -0.1090
2024-08-29 04:53:02.015202; 1724874782015.202;  -0.0996
2024-08-29 04:53:02.016202; 1724874782016.202;  -0.0872
2024-08-29 04:53:02.017202; 1724874782017.202;  -0.0747
2024-08-29 04:53:02.018202; 1724874782018.202;  -0.0592
2024-08-29 04:53:02.019202; 1724874782019.202;  -0.0467
2024-08-29 04:53:02.020202; 1724874782020.202;  -0.0311
2024-08-29 04:53:02.021202; 1724874782021.202;  -0.0156
2024-08-29 04:53:02.022202; 1724874782022.202;   0.0000
2024-08-29 04:53:02.023202; 1724874782023.202;   0.0187
2024-08-29 04:53:02.024202; 1724874782024.202;   0.0342
2024-08-29 04:53:02.025202; 1724874782025.202;   0.0560
2024-08-29 04:53:02.026202; 1724874782026.202;   0.0716
2024-08-29 04:53:02.027202; 1724874782027.202;   0.0872
2024-08-29 04:53:02.028202; 1724874782028.202;   0.1059
2024-08-29 04:53:02.029202; 1724874782029.202;   0.1214
2024-08-29 04:53:02.030202; 1724874782030.202;   0.1370
2024-08-29 04:53:02.031202; 1724874782031.202;   0.1557
2024-08-29 04:53:02.032202; 1724874782032.202;   0.1712
2024-08-29 04:53:02.033202; 1724874782033.202;   0.1868
2024-08-29 04:53:02.034202; 1724874782034.202;   0.2024
2024-08-29 04:53:02.035202; 1724874782035.202;   0.2211
2024-08-29 04:53:02.036202; 1724874782036.202;   0.2335
2024-08-29 04:53:02.037202; 1724874782037.202;   0.2491
2024-08-29 04:53:02.038202; 1724874782038.202;   0.2615
2024-08-29 04:53:02.039202; 1724874782039.202;   0.2771
2024-08-29 04:53:02.040202; 1724874782040.202;   0.2896
2024-08-29 04:53:02.041202; 1724874782041.202;   0.2989
2024-08-29 04:53:02.042202; 1724874782042.202;   0.3114
2024-08-29 04:53:02.043202; 1724874782043.202;   0.3207
2024-08-29 04:53:02.044202; 1724874782044.202;   0.3300
2024-08-29 04:53:02.045202; 1724874782045.202;   0.3394
2024-08-29 04:53:02.046202; 1724874782046.202;   0.3487
2024-08-29 04:53:02.047202; 1724874782047.202;   0.3549
2024-08-29 04:53:02.048202; 1724874782048.202;   0.3612
2024-08-29 04:53:02.049202; 1724874782049.202;   0.3643
2024-08-29 04:53:02.050202; 1724874782050.202;   0.3674
2024-08-29 04:53:02.051202; 1724874782051.202;   0.3705
2024-08-29 04:53:02.052202; 1724874782052.202;   0.3705
2024-08-29 04:53:02.053202; 1724874782053.202;   0.3705
2024-08-29 04:53:02.054202; 1724874782054.202;   0.3705
2024-08-29 04:53:02.055202; 1724874782055.202;   0.3705
2024-08-29 04:53:02.056202; 1724874782056.202;   0.3674
2024-08-29 04:53:02.057202; 1724874782057.202;   0.3643
2024-08-29 04:53:02.058202; 1724874782058.202;   0.3581
2024-08-29 04:53:02.059202; 1724874782059.202;   0.3549
2024-08-29 04:53:02.060202; 1724874782060.202;   0.3487
2024-08-29 04:53:02.061202; 1724874782061.202;   0.3363
2024-08-29 04:53:02.062202; 1724874782062.202;   0.3300
2024-08-29 04:53:02.063202; 1724874782063.202;   0.3207
2024-08-29 04:53:02.064202; 1724874782064.202;   0.3082
2024-08-29 04:53:02.065202; 1724874782065.202;   0.2958
2024-08-29 04:53:02.066202; 1724874782066.202;   0.2833
2024-08-29 04:53:02.067202; 1724874782067.202;   0.2740
2024-08-29 04:53:02.068202; 1724874782068.202;   0.2584
2024-08-29 04:53:02.069202; 1724874782069.202;   0.2460
2024-08-29 04:53:02.070202; 1724874782070.202;   0.2304
2024-08-29 04:53:02.071202; 1724874782071.202;   0.2148
2024-08-29 04:53:02.072202; 1724874782072.202;   0.1993
2024-08-29 04:53:02.073202; 1724874782073.202;   0.1837
2024-08-29 04:53:02.074202; 1724874782074.202;   0.1650
2024-08-29 04:53:02.075202; 1724874782075.202;   0.1495
2024-08-29 04:53:02.076202; 1724874782076.202;   0.1370
2024-08-29 04:53:02.077202; 1724874782077.202;   0.1183
2024-08-29 04:53:02.078202; 1724874782078.202;   0.1027
2024-08-29 04:53:02.079202; 1724874782079.202;   0.0841
2024-08-29 04:53:02.080202; 1724874782080.202;   0.0685
2024-08-29 04:53:02.081202; 1724874782081.202;   0.0529
2024-08-29 04:53:02.082202; 1724874782082.202;   0.0342
2024-08-29 04:53:02.083202; 1724874782083.202;   0.0156
2024-08-29 04:53:02.084202; 1724874782084.202;   0.0000
2024-08-29 04:53:02.085202; 1724874782085.202;  -0.0156
2024-08-29 04:53:02.086202; 1724874782086.202;  -0.0311
2024-08-29 04:53:02.087202; 1724874782087.202;  -0.0467
2024-08-29 04:53:02.088202; 1724874782088.202;  -0.0623
2024-08-29 04:53:02.089202; 1724874782089.202;  -0.0778
2024-08-29 04:53:02.090202; 1724874782090.202;  -0.0903
2024-08-29 04:53:02.091202; 1724874782091.202;  -0.1027
2024-08-29 04:53:02.092202; 1724874782092.202;  -0.1121
2024-08-29 04:53:02.093202; 1724874782093.202;  -0.1214
2024-08-29 04:53:02.094202; 1724874782094.202;  -0.1339
2024-08-29 04:53:02.095202; 1724874782095.202;  -0.1432
2024-08-29 04:53:02.096202; 1724874782096.202;  -0.1526
2024-08-29 04:53:02.097202; 1724874782097.202;  -0.1557
2024-08-29 04:53:02.098202; 1724874782098.202;  -0.1619
2024-08-29 04:53:02.099202; 1724874782099.202;  -0.1681
2024-08-29 04:53:02.100202; 1724874782100.202;  -0.1712
