# sensorTOOL V1.12.0.1370
# SensorTypeName:optoNCDT ILD1420; SerialNumber:18040260; RecordingDate:2024-08-29_01-40-21.309; SA_AnalogScaleMode:0; SA_ApplicationLanguage:EN; SA_ArticleNumber:4120216; SA_Automatic:1; SA_AveragingType:3; SA_BootVersion:001.006; SA_CableHead:Wire; SA_ChartType:0; SA_CurrentName:new; SA_DataOutInterface:1; SA_DataRange:50; SA_DataSource:0; SA_DefaultUser:1; SA_DisplayUnit:0; SA_Echo:0; SA_ErrorHysteresis:2; SA_ErrorLevelOut1:0; SA_ErrorOutHoldTime:50; SA_ErrorOutput1:1; SA_HardwareRevision:01; SA_HoldLastValid:-1; SA_InitialChartType:2; SA_KeyFunction:2; SA_Keylock:2; SA_KeylockState:1; SA_KeylockTime:5; SA_LaserPower:0; SA_Master:1; SA_MasterValue:0; SA_Measrate:1; SA_MeasurePeak:0; SA_MedianCount:9; SA_MovingCount:2; SA_MultiFunctionInputLevel:0; SA_MultiFunctionInputMode:0; SA_Option:000; SA_PresetMode:3; SA_PresetNames:Standard; SA_ROIEnd:511; SA_ROIStart:0; SA_Range:200; SA_RecursiveCount:2; SA_ResampleAnalog:0; SA_ResampleRS422:0; SA_Resampling:1; SA_Sensor:ILD1420; SA_SensorBaudrate:921600; SA_SerialNumber:18040260; SA_SettingNames:new; SA_Softwareversion:001.040; SA_TimeRange:3; SA_TriggerCount:1; SA_TriggerMode:0; SA_TriggerMoment:0; SA_UpperLimit:0; SA_UserLevel:1; SA_ViewRange:1
# SignalName           ; DataRate             ; RangeMin             ; RangeMax             
# Distance1            ; 1000 Hz              ; -102 mm              ; 713,9750916 mm       
# VideoResolution:65536; VideoSignalCount:0
# 1_Averaging:Disabled; 2_Triggering:Disabled; 3_Subsampling:Disabled; 4_Mastering:Disabled
# Data acquisition time; Epoch time (ms); Distance1 (mm)
2024-08-29 01:40:21,315815; 1724863221315,815;  -2,7617
2024-08-29 01:40:21,316815; 1724863221316,815;  -2,7088
2024-08-29 01:40:21,317815; 1724863221317,815;  -2,6559
2024-08-29 01:40:21,318815; 1724863221318,815;  -2,6029
2024-08-29 01:40:21,319816; 1724863221319,816;  -2,5531
2024-08-29 01:40:21,320816; 1724863221320,816;  -2,5002
2024-08-29 01:40:21,321816; 1724863221321,816;  -2,4441
2024-08-29 01:40:21,322816; 1724863221322,816;  -2,3912
2024-08-29 01:40:21,323817; 1724863221323,817;  -2,3352
2024-08-29 01:40:21,324817; 1724863221324,817;  -2,2791
2024-08-29 01:40:21,325817; 1724863221325,817;  -2,2231
2024-08-29 01:40:21,326817; 1724863221326,817;  -2,1639
2024-08-29 01:40:21,327818; 1724863221327,818;  -2,1079
2024-08-29 01:40:21,328818; 1724863221328,818;  -2,0456
2024-08-29 01:40:21,329818; 1724863221329,818;  -1,9864
2024-08-29 01:40:21,330818; 1724863221330,818;  -1,9242
2024-08-29 01:40:21,331819; 1724863221331,819;  -1,8557
2024-08-29 01:40:21,332819; 1724863221332,819;  -1,7903
2024-08-29 01:40:21,333819; 1724863221333,819;  -1,7280
2024-08-29 01:40:21,334819; 1724863221334,819;  -1,6689
2024-08-29 01:40:21,335819; 1724863221335,820;  -1,6066
2024-08-29 01:40:21,336820; 1724863221336,820;  -1,5443
2024-08-29 01:40:21,337820; 1724863221337,820;  -1,4883
2024-08-29 01:40:21,338820; 1724863221338,820;  -1,4291
2024-08-29 01:40:21,339821; 1724863221339,821;  -1,3700
2024-08-29 01:40:21,340821; 1724863221340,821;  -1,3046
2024-08-29 01:40:21,341821; 1724863221341,821;  -1,2392
2024-08-29 01:40:21,342821; 1724863221342,821;  -1,1769
2024-08-29 01:40:21,343822; 1724863221343,822;  -1,1147
