# sensorTOOL V1.12.0.1370
# SensorTypeName:optoNCDT ILD1420; SerialNumber:18040260; RecordingDate:2024-09-13_00-09-35.146; SA_AnalogScaleMode:0; SA_ApplicationLanguage:EN; SA_ArticleNumber:4120216; SA_Automatic:1; SA_AveragingType:3; SA_BootVersion:001.006; SA_CableHead:Wire; SA_ChartType:0; SA_CmdStr:GETOUTINFO_RS422\\r\\n; SA_CurrentName:new; SA_DataOutInterface:1; SA_DataRange:50; SA_DataSource:0; SA_DefaultUser:1; SA_DisplayUnit:0; SA_Echo:0; SA_ErrorHysteresis:2; SA_ErrorLevelOut1:0; SA_ErrorOutHoldTime:50; SA_ErrorOutput1:1; SA_HardwareRevision:01; SA_HoldLastValid:-1; SA_InitialChartType:2; SA_KeyFunction:2; SA_Keylock:2; SA_KeylockState:0; SA_KeylockTime:5; SA_LaserPower:0; SA_Master:1; SA_MasterValue:0; SA_Measrate:1; SA_MeasurePeak:0; SA_MedianCount:9; SA_MovingCount:2; SA_MultiFunctionInputLevel:0; SA_MultiFunctionInputMode:0; SA_Option:000; SA_PresetMode:3; SA_PresetNames:Standard; SA_ROIEnd:511; SA_ROIStart:0; SA_Range:200; SA_RecursiveCount:2; SA_ResampleAnalog:0; SA_ResampleRS422:0; SA_Resampling:1; SA_Sensor:ILD1420; SA_SensorBaudrate:921600; SA_SerialNumber:18040260; SA_SettingNames:new; SA_Softwareversion:001.040; SA_TimeRange:3; SA_TriggerCount:1; SA_TriggerMode:0; SA_TriggerMoment:0; SA_UpperLimit:0; SA_UserLevel:1; SA_ViewRange:1
# SignalName           ; DataRate             ; RangeMin             ; RangeMax             
# Distance1            ; 1000 Hz              ; -102 mm              ; 713.9750916 mm       
# VideoResolution:65536; VideoSignalCount:0
# 1_Averaging:Disabled; 2_Triggering:Disabled; 3_Subsampling:Disabled; 4_Mastering:Disabled
# Data acquisition time; Epoch time (ms); Distance1 (mm)
2024-09-13 00:09:35.198321; 1726153775198.321;   9.5929
2024-09-13 00:09:35.199321; 1726153775199.322;   9.5368
2024-09-13 00:09:35.200322; 1726153775200.322;   9.4777
2024-09-13 00:09:35.201322; 1726153775201.322;   9.4185
2024-09-13 00:09:35.202322; 1726153775202.322;   9.3531
2024-09-13 00:09:35.203322; 1726153775203.323;   9.2940
2024-09-13 00:09:35.204323; 1726153775204.323;   9.2286
2024-09-13 00:09:35.205323; 1726153775205.323;   9.1632
2024-09-13 00:09:35.206323; 1726153775206.323;   9.0978
2024-09-13 00:09:35.207324; 1726153775207.323;   9.0355
2024-09-13 00:09:35.208324; 1726153775208.324;   8.9795
2024-09-13 00:09:35.209324; 1726153775209.324;   8.9172
2024-09-13 00:09:35.210324; 1726153775210.324;   8.8518
2024-09-13 00:09:35.211324; 1726153775211.324;   8.7927
2024-09-13 00:09:35.212325; 1726153775212.325;   8.7273
2024-09-13 00:09:35.213325; 1726153775213.325;   8.6619
2024-09-13 00:09:35.214325; 1726153775214.325;   8.5965
2024-09-13 00:09:35.215325; 1726153775215.325;   8.5280
2024-09-13 00:09:35.216326; 1726153775216.326;   8.4689
2024-09-13 00:09:35.217326; 1726153775217.326;   8.4035
2024-09-13 00:09:35.218326; 1726153775218.326;   8.3381
2024-09-13 00:09:35.219326; 1726153775219.326;   8.2665
2024-09-13 00:09:35.220327; 1726153775220.327;   8.2011
2024-09-13 00:09:35.221327; 1726153775221.327;   8.1295
2024-09-13 00:09:35.222327; 1726153775222.327;   8.0579
2024-09-13 00:09:35.223327; 1726153775223.327;   7.9863
2024-09-13 00:09:35.224328; 1726153775224.328;   7.9115
2024-09-13 00:09:35.225328; 1726153775225.328;   7.8368
2024-09-13 00:09:35.226328; 1726153775226.328;   7.7621
2024-09-13 00:09:35.227328; 1726153775227.328;   7.6905
2024-09-13 00:09:35.228329; 1726153775228.329;   7.6220
