# sensorTOOL V2.0.1.2698
# SensorTypeName:optoNCDT ILD1420; SerialNumber:18040260; RecordingDate:2025-03-06_08-04-55.633; IP_Baudrate:921600; IP_ByteSize:8; IP_Interface:RS232; IP_Parity:0; IP_Port:COM3; IP_Stopbits:0; SA_SerialNumber:18040260; SA_AnalogScaleMode:0; SA_ApplicationLanguage:EN; SA_ArticleNumber:4120216; SA_Automatic:1; SA_AveragingType:3; SA_BootVersion:001.006; SA_CableHead:Wire; SA_ChartType:0; SA_CmdStr:OUTPUT RS422\r\n; SA_CurrentName:new; SA_DataOutInterface:1; SA_DataRange:50; SA_DataSource:0; SA_DefaultUser:1; SA_DisplayUnit:0; SA_Echo:0; SA_ErrorHysteresis:2; SA_ErrorLevelOut1:0; SA_ErrorOutHoldTime:50; SA_ErrorOutput1:1; SA_HardwareRevision:01; SA_HoldLastValid:-1; SA_InitialChartType:2; SA_KeyFunction:2; SA_Keylock:2; SA_KeylockState:1; SA_KeylockTime:5; SA_LaserPower:0; SA_Master:1; SA_MasterValue:0; SA_Measrate:1; SA_MeasurePeak:0; SA_MedianCount:9; SA_MovingCount:2; SA_MultiFunctionInputLevel:0; SA_MultiFunctionInputMode:0; SA_Option:000; SA_PresetMode:3; SA_PresetNames:Standard; SA_ROIEnd:511; SA_ROIStart:0; SA_Range:200; SA_RecursiveCount:2; SA_ResampleAnalog:0; SA_ResampleRS422:0; SA_Resampling:1; SA_Sensor:ILD1420; SA_SensorBaudrate:921600; SA_SerialNumber:18040260; SA_SettingNames:new; SA_Softwareversion:001.040; SA_TimeRange:3; SA_TriggerCount:1; SA_TriggerMode:0; SA_TriggerMoment:0; SA_UpperLimit:0; SA_UserLevel:1; SA_ViewRange:1
# SignalName           ; DataRate             ; RangeMin             ; RangeMax             ; ViewRange            
# Distance1            ; 1000 Hz              ; -102 mm              ; 713.9750916 mm       ; 4.079875458 mm       
# VideoResolution:0; VideoSignalCount:0
# 1_Averaging:Disabled; 2_Triggering:Disabled; 3_Subsampling:Disabled; 4_Mastering:Disabled
# Data acquisition time; Epoch time (ms); Distance1 (mm)
2025-03-06 08:04:56.232142; 1741215896232.142; -34.651
2025-03-06 08:04:56.233142; 1741215896233.142; -34.651
2025-03-06 08:04:56.234142; 1741215896234.142; -34.651
2025-03-06 08:04:56.235143; 1741215896235.143; -34.651
2025-03-06 08:04:56.236143; 1741215896236.143; -34.651
2025-03-06 08:04:56.237143; 1741215896237.143; -34.651
2025-03-06 08:04:56.238143; 1741215896238.143; -34.651
2025-03-06 08:04:56.239144; 1741215896239.144; -34.651
2025-03-06 08:04:56.240144; 1741215896240.144; -34.651
2025-03-06 08:04:56.241144; 1741215896241.144; -34.651
2025-03-06 08:04:56.242144; 1741215896242.144; -34.651
2025-03-06 08:04:56.243144; 1741215896243.145; -34.651
2025-03-06 08:04:56.244145; 1741215896244.145; -34.651
2025-03-06 08:04:56.245145; 1741215896245.145; -34.651
2025-03-06 08:04:56.246145; 1741215896246.145; -34.651
2025-03-06 08:04:56.247145; 1741215896247.146; -34.651
2025-03-06 08:04:56.248146; 1741215896248.146; -34.651
2025-03-06 08:04:56.249146; 1741215896249.146; -34.651
2025-03-06 08:04:56.250146; 1741215896250.146; -34.654
2025-03-06 08:04:56.251147; 1741215896251.146; -34.654
2025-03-06 08:04:56.252147; 1741215896252.147; -34.654
2025-03-06 08:04:56.253147; 1741215896253.147; -34.654
2025-03-06 08:04:56.254147; 1741215896254.147; -34.654
2025-03-06 08:04:56.255147; 1741215896255.147; -34.654
2025-03-06 08:04:56.256148; 1741215896256.148; -34.654
2025-03-06 08:04:56.257148; 1741215896257.148; -34.654
2025-03-06 08:04:56.258148; 1741215896258.148; -34.654
2025-03-06 08:04:56.259148; 1741215896259.148; -34.654
2025-03-06 08:04:56.260149; 1741215896260.149; -34.654
2025-03-06 08:04:56.261149; 1741215896261.149; -34.654
2025-03-06 08:04:56.262149; 1741215896262.149; -34.654
2025-03-06 08:04:56.263149; 1741215896263.149; -34.654
2025-03-06 08:04:56.264150; 1741215896264.150; -34.654
2025-03-06 08:04:56.265150; 1741215896265.150; -34.657
2025-03-06 08:04:56.266150; 1741215896266.150; -34.657
