# sensorTOOL V2.0.1.2698
# SensorTypeName:optoNCDT ILD1420; SerialNumber:18040260; RecordingDate:2025-03-06_17-41-50.407; IP_Baudrate:921600; IP_ByteSize:8; IP_Interface:RS232; IP_Parity:0; IP_Port:COM3; IP_Stopbits:0; SA_SerialNumber:18040260; SA_AnalogScaleMode:0; SA_ApplicationLanguage:EN; SA_ArticleNumber:4120216; SA_Automatic:1; SA_AveragingType:3; SA_BootVersion:001.006; SA_CableHead:Wire; SA_ChartType:0; SA_CmdStr:OUTPUT RS422\r\n; SA_CurrentName:new; SA_DataOutInterface:1; SA_DataRange:50; SA_DataSource:0; SA_DefaultUser:1; SA_DisplayUnit:0; SA_Echo:0; SA_ErrorHysteresis:2; SA_ErrorLevelOut1:0; SA_ErrorOutHoldTime:50; SA_ErrorOutput1:1; SA_HardwareRevision:01; SA_HoldLastValid:-1; SA_InitialChartType:2; SA_KeyFunction:2; SA_Keylock:2; SA_KeylockState:1; SA_KeylockTime:5; SA_LaserPower:0; SA_Master:1; SA_MasterValue:0; SA_Measrate:1; SA_MeasurePeak:0; SA_MedianCount:9; SA_MovingCount:2; SA_MultiFunctionInputLevel:0; SA_MultiFunctionInputMode:0; SA_Option:000; SA_PresetMode:3; SA_PresetNames:Standard; SA_ROIEnd:511; SA_ROIStart:0; SA_Range:200; SA_RecursiveCount:2; SA_ResampleAnalog:0; SA_ResampleRS422:0; SA_Resampling:1; SA_Sensor:ILD1420; SA_SensorBaudrate:921600; SA_SerialNumber:18040260; SA_SettingNames:new; SA_Softwareversion:001.040; SA_TimeRange:3; SA_TriggerCount:1; SA_TriggerMode:0; SA_TriggerMoment:0; SA_UpperLimit:0; SA_UserLevel:1; SA_ViewRange:1
# SignalName           ; DataRate             ; RangeMin             ; RangeMax             ; ViewRange            
# Distance1            ; 1000 Hz              ; -102 mm              ; 713.9750916 mm       ; 4.079875458 mm       
# VideoResolution:0; VideoSignalCount:0
# 1_Averaging:Disabled; 2_Triggering:Disabled; 3_Subsampling:Disabled; 4_Mastering:Disabled
# Data acquisition time; Epoch time (ms); Distance1 (mm)
2025-03-06 17:41:50.293694; 1741250510293.695; -41.899
2025-03-06 17:41:50.294695; 1741250510294.695; -41.899
2025-03-06 17:41:50.295695; 1741250510295.695; -41.899
2025-03-06 17:41:50.296694; 1741250510296.695; -41.899
2025-03-06 17:41:50.297695; 1741250510297.695; -41.899
2025-03-06 17:41:50.298695; 1741250510298.695; -41.899
2025-03-06 17:41:50.299695; 1741250510299.695; -41.899
2025-03-06 17:41:50.300695; 1741250510300.695; -41.899
2025-03-06 17:41:50.301695; 1741250510301.695; -41.899
2025-03-06 17:41:50.302695; 1741250510302.695; -41.899
2025-03-06 17:41:50.303694; 1741250510303.695; -41.899
2025-03-06 17:41:50.304695; 1741250510304.695; -41.896
2025-03-06 17:41:50.305695; 1741250510305.695; -41.896
2025-03-06 17:41:50.306694; 1741250510306.695; -41.896
2025-03-06 17:41:50.307695; 1741250510307.695; -41.896
2025-03-06 17:41:50.308695; 1741250510308.695; -41.896
2025-03-06 17:41:50.309695; 1741250510309.695; -41.896
2025-03-06 17:41:50.310695; 1741250510310.695; -41.893
2025-03-06 17:41:50.311695; 1741250510311.695; -41.893
2025-03-06 17:41:50.312695; 1741250510312.695; -41.893
2025-03-06 17:41:50.313694; 1741250510313.695; -41.893
2025-03-06 17:41:50.314695; 1741250510314.695; -41.893
2025-03-06 17:41:50.315695; 1741250510315.695; -41.893
2025-03-06 17:41:50.316694; 1741250510316.695; -41.893
2025-03-06 17:41:50.317695; 1741250510317.695; -41.890
2025-03-06 17:41:50.318695; 1741250510318.695; -41.890
2025-03-06 17:41:50.319694; 1741250510319.695; -41.890
2025-03-06 17:41:50.320695; 1741250510320.695; -41.890
2025-03-06 17:41:50.321695; 1741250510321.695; -41.890
2025-03-06 17:41:50.322695; 1741250510322.695; -41.887
2025-03-06 17:41:50.323695; 1741250510323.695; -41.887
2025-03-06 17:41:50.324695; 1741250510324.695; -41.887
2025-03-06 17:41:50.325695; 1741250510325.695; -41.884
2025-03-06 17:41:50.326694; 1741250510326.695; -41.884
2025-03-06 17:41:50.327695; 1741250510327.695; -41.884
