Synchronized Time (s),ROS Header Time (s),Camera Number,Fiducial ID,Position X,Position Y,Position Z,Rotation X,Rotation Y,Rotation Z,Rotation W
1740164654.112185,1740164654.0984159,1,3,0.0009654238666196898,0.0012909887325945016,0.0010742849559730924,-0.0026959133726463264,0.009124771219007628,-0.004327858064228772,0.9999453686306388
1740164654.1290681,1740164654.1150641,1,3,0.0008616825976135822,0.00032598725008237334,-0.00013166848801458362,-0.0031875848567485196,0.00823951360475891,-0.0043777590301667365,0.9999513912907027
1740164654.1454618,1740164654.131723,1,3,0.0006755347206249769,-0.0007698949790205118,-0.001501938072605329,-0.0038806685267916198,0.006269986070412575,-0.003986570032823404,0.9999648668557487
1740164654.1624825,1740164654.1488724,1,3,0.0004431554852779683,-0.0022074582332973687,-0.0033014420721950476,-0.004940090566640359,0.003928216051739598,-0.003511868638552224,0.9999739153610507
1740164654.179424,1740164654.1651556,1,3,0.00010164232329392935,-0.0035246432608604834,-0.004949481220337728,-0.005643151597959795,0.000757147151021943,-0.0027215706856462333,0.999980087112357
1740164654.1961572,1740164654.1816132,1,3,-0.0003189921908936005,-0.004892195347708835,-0.006663588207110776,-0.0064142649978278735,-0.0030379483270029863,-0.0015381048724349593,0.9999736308062835
1740164654.2124844,1740164654.198362,1,3,-0.0007712277950301665,-0.006551699644563511,-0.008746459549104512,-0.0074084514832755705,-0.007639817459938488,-0.00017043993774355264,0.9999433578888489
1740164654.2294602,1740164654.2150578,1,3,-0.0013488508693211703,-0.007850733404506993,-0.010392881905946104,-0.008159168142580255,-0.012628828718240746,0.0013574053726629375,0.9998860425623916
1740164654.2450986,1740164654.2321272,1,3,-0.00196035545771472,-0.0093635800925817,-0.012312951483543472,-0.009081387289399171,-0.018052703699433154,0.0029423808365398223,0.9997914636008117
1740164654.2636108,1740164654.2483792,1,3,-0.0026319710347793347,-0.010814409450394776,-0.014155146751042817,-0.009920362746563844,-0.02420569989456726,0.005021838062111316,0.9996451628643379
1740164654.2791016,1740164654.2651079,1,3,-0.0033364424437991,-0.012386547334203359,-0.01615198002462644,-0.010796971450165378,-0.030744603994121673,0.007154421468992522,0.9994433495632421
1740164654.2951832,1740164654.2821279,1,3,-0.004046288602217,-0.014210846828519544,-0.01847286763971322,-0.011919336729013122,-0.037588908433699185,0.009449665734753997,0.9991775153556073
1740164654.3114111,1740164654.2984376,1,3,-0.004836526638846126,-0.015643132061456046,-0.020314158189093722,-0.012608469174714976,-0.0446817507761179,0.011833147735338312,0.9988516127370095
1740164654.328826,1740164654.3156283,1,3,-0.005649344662220676,-0.017006633128806806,-0.02208619773235868,-0.013425845676161221,-0.05187811785384878,0.014399025684043512,0.9984593510079278
1740164654.3449762,1740164654.332139,1,3,-0.006467709048508879,-0.018316953925328013,-0.023789151547975305,-0.01418355694266077,-0.05934351001586019,0.016968490495157106,0.9979926076187977
1740164654.361681,1740164654.3485885,1,3,-0.0073468223814163605,-0.019119337202204992,-0.024859711631447422,-0.014505014854916084,-0.06673179368159207,0.01964095682481923,0.9974721575418041
1740164654.3793325,1740164654.3656633,1,3,-0.008170143396877364,-0.020100103736085992,-0.0261586804991903,-0.015018382585660078,-0.07366010700223749,0.02214017617589518,0.996924495345475
1740164654.3951573,1740164654.382022,1,3,-0.008996476864939325,-0.020759839512489445,-0.02706054336005359,-0.01514476479645475,-0.08051577921063789,0.02464354694518427,0.9963335490644306
1740164654.4158163,1740164654.3985984,1,3,-0.00981854260389892,-0.021097104007015994,-0.027560625646136032,-0.015316240950195624,-0.08713302005674255,0.02707214964910664,0.9957109762839432
1740164654.428617,1740164654.4153624,1,3,-0.010551928950334282,-0.02168090416102856,-0.028369451206984028,-0.015459848763869077,-0.09328207101000702,0.029395999530245187,0.9950855860255942
1740164654.4457653,1740164654.431861,1,3,-0.011263597870197586,-0.0219421135556349,-0.028769549038722225,-0.01533435965042069,-0.09874287254055082,0.03156627731182252,0.9944939781985738
1740164654.4624364,1740164654.4488595,1,3,-0.011938880674944823,-0.0220078433030863,-0.028923728971559613,-0.015279500117500826,-0.1037884485786866,0.033450246297019225,0.9939193004668223
1740164654.7004442,1740164654.682328,1,3,-0.012268454861525589,-0.01989955813278381,-0.02630116190214825,-0.014317795373539027,-0.11125422814409498,0.039695908381548115,0.992895630121045
1740164654.713106,1740164654.6995015,1,3,-0.011695860977967383,-0.01898000921806339,-0.02508721909270036,-0.013976390864400973,-0.10709627851632497,0.03860613039239519,0.9934005306634806
1740164654.7283707,1740164654.7156274,1,3,-0.010930890857074925,-0.019083931245505083,-0.025144596390822976,-0.0143887429289046,-0.10229544608753974,0.0371184172990472,0.9939571564629388
1740164654.7455854,1740164654.7323847,1,3,-0.010174051618505542,-0.018612231824106977,-0.024478307110863025,-0.014280718529567513,-0.09658873482243226,0.03515788628358868,0.9946007241178498
1740164654.7619925,1740164654.7492723,1,3,-0.009373299195956884,-0.018117179352978977,-0.023779750865137863,-0.014035063754904807,-0.09082723998517618,0.03329094533270764,0.9952111044501691
