Time (s),Cam1 Fiducial ID,Cam1 Position X,Cam1 Position Y,Cam1 Position Z,Cam1 Rotation X,Cam1 Rotation Y,Cam1 Rotation Z,Cam1 Rotation W
1724645160.0732412,0,3.0673969740613102e-06,1.7204104097319492e-06,9.831483763509112e-07,-9.256601452521931e-06,-0.00014280574478195036,7.096728664105447e-05,0.9999999872422394
1724645160.103519,0,3.987993487276501e-06,3.6233863605511245e-06,4.988922096626153e-06,2.433256084405991e-05,-9.440092363309986e-05,6.687312380867994e-05,0.9999999930121887
1724645160.1350827,0,6.514324544405284e-06,8.089636789625163e-07,3.7801952452637233e-07,1.4079153655078888e-05,-7.507633318521326e-05,9.794945865400765e-06,0.9999999970346903
1724645160.1627724,0,1.0620460304840151e-05,5.842948719572477e-06,6.976783524080178e-06,-6.333959043893078e-05,-0.00016629288154255533,8.567466702256044e-05,0.9999999804973124
1724645160.198676,0,1.4822794820056149e-05,3.4531415105627188e-06,2.07928850883251e-06,-7.607076776301342e-05,-0.00012116707900519898,7.928255885683771e-05,0.9999999866230265
1724645160.2310128,0,1.3135483863166845e-05,3.6605846821405535e-06,4.3021237640099315e-06,-5.176859773312831e-05,-9.992174680536036e-05,8.593911982420506e-05,0.9999999899750621
1724645160.2621324,0,7.966488886159028e-06,-1.9596621745302577e-06,-3.402414981738018e-06,-2.813589107211298e-05,-0.00017238729320603736,0.0001063455339651539,0.9999999790908098
1724645160.2942166,0,4.7059341671500604e-06,4.94814718946549e-06,5.154457892808865e-06,-4.7129463250663506e-05,-9.975064784112666e-05,7.806781949042379e-05,0.9999999908670186
1724645160.3263552,0,4.1400697189162855e-06,2.2588518035833176e-06,7.212812602001562e-07,1.1460626471331727e-05,-8.549483381907769e-05,2.784486421106506e-05,0.9999999958919755
1724645160.3653612,0,5.702492268301792e-06,2.193719941470219e-06,1.7369451950823792e-06,-2.2496209811905354e-05,-1.7838000798255265e-05,2.1602820394907174e-05,0.9999999993545222
1724645160.4021027,0,1.2246282560786995e-05,2.1073766473878573e-06,4.2714317512800486e-07,-6.358117312670575e-05,-0.00023152235764020666,0.00011741992120726165,0.9999999642836966
